                            Grupos de Pesquisa UNIFEI,,,,
Nome do Grupo,Instituto,Nome do Líder,Área Predominante,
Grupo de Pesquisa em Metais,IEI,José Carlos de Lacerda,Engenharias; Engenharia de Materiais e Metalúrgica,
Grupo de Pesquisa em Sistemas Dinâmicos,ICT,Tiago Gaiba de Oliveira,Engenharias; Engenharia Elétrica,
Grupo de pesquisa sobre conflitos e confluências rurais na Bacia do Rio Doce,ICPA,Leonardo Ferreira Reis,Engenharias; Engenharia de Produção,
Grupo de práticas aplicadas aos sistemas elétricos,ICT,Aurélio Luiz Magalhães Coelho,Engenharias; Engenharia Elétrica,
Grupo Interdisciplinar em Simulação e Inteligência Computacional,ICT,Carlos Henrique da Silveira,Ciências Exatas e da Terra; Ciência da Computação,
Laboratório de Nanotecnologia Aplicada,ICPA,Evandro Augusto de Morais,Ciências Exatas e da Terra; Física,
"Laboratório de Robótica, Sistemas Inteligentes e Complexos ",ICT,Giovani Bernardes Vitor,Ciências Exatas e da Terra; Ciência da Computação,
Laboratório Interdisciplinar de Materiais Compósitos e Poliméricos,IEI,Mercês Coelho da Silva,Engenharias; Engenharia de Materiais e Metalúrgica,
Metodologias Ativas no Ensino Superior,ICPA,Lílian Barros Pereira Campos,Ciências Humanas; Educação,
Núcleo de Pesquisa em Poluição Ambiental,ICPA,Ana Carolina Vasques Freitas,Ciências Exatas e da Terra; Química,
