Nome do Grupo,Instituto,Nome do Líder,Área Predominante,Linhas de Pesquisa
"GEPEQ - Grupo de Ensino, Pesquisa e Extensão em Qualidade e Produto",IEPG,Carlos Henrique Pereira Mello,Engenharia de Produção,"Controle Estatístico da Qualidade,Engenharia da qualidade,Sistemas de Gestão da Qualidade"
Grupo de Estudos em Tecnologias de Conversão de Energia - GETEC,IEM,Christian Jeremi Rodriguez Coronado,Engenharia Mecânica,"Biocombustíveis a partir de resíduos: Combustão, Energia e ciclos não convencionais,Ciclo Kalina para o Aproveitamento do Calor Residual,Cinética Química de Combustíveis Sólidos,Combustão flameless de Farneseno e Óleo pirolitico proveniente de pneus usados,Desenvolvimento de técnicas para diagnóstico e prognóstico de turbinas a gás e a vapor,Energia Solar Fotovoltaica - Usina Solar UNIFEI de 600 kWp e outras."
Grupo de Pesquisa Aqua Tropicus,IRN,Daniel Clemente Vieira Rego da Silva,Ciências Biológicas; Ecologia,"Análise de Risco Ambiental relacionadas ao lançamento de poluentes nos diversos compartimentos ambientais,Diagnóstico e monitoramento ambiental de ambientes fluviais e costeiros,Efeito das Previsões de Mudanças Climáticas Globais em bacias hidrográficas e ambientes estuarinos"
"Grupo de Estudos e Pesquisas Interdisciplinares em Tecnologias, Educação em Ciências e Inclusão ",IFQ,Denise Pereira de Alcantara Ferraz ,Educação ,"Aprendizagem Ativa na Educação em Ciências,Educação e Tecnologias,Educação em Ciências na perspectiva inclusiva"
Grupo de Fabricação,IEM,Edmilson Otoni Corrêa,Engenharia Mecânica,"Automação e Controle da Manufatura,Materiais e Metalurgia,Processos de Fabricação"
Grupo de Estudos Energéticos - GEE,ISEE,Eduardo Crestana Guardia,Engenharia Elétrica,"Eficiência Energética, Planejamento Energético, Biocombustíveis, Economia do Hidrogênio Verde, Geração de Energia, Gestão Energética, Mercado e Comercialização de Energia,Transição Energética"
Núcleo de Excelência em Geração Termelétrica e Distribuída - NEST,IEM,Electo Eduardo Silva Lora,Engenharias; Engenharia Mecânica,"ACV - Analise do Ciclo de Vida,Biocombustiveis,Cogeração,Diagnóstico Termodinâmico em Sistemas de Refrigeração,Eficiência Energética em Edificações,Energia Solar,Geração Termelétrica,Prevenção e Controle da Poluição na Indústria,Turbinas a Gás e outras."
GRUPO DE PESQUISA DE DINÂMICAS EMPREENDEDORAS,IEPG,Elzo Alves Aranha,Engenharia de Produção,"Educação Empreendedora nas Engenharias e no ensino superior,Estudo das Dinâmicas Empreendedoras e Ecossistemas Empreendedores (Panel Study of Entrepreneurial Dynamics - PSED),Modelo de Negócio e Inovação Aberta"
Grupo de Pesquisa em Eletrônica de Potência e Aplicações - GPEPA,IESTI,Enio Roberto Ribeiro,Engenharias; Engenharia Elétrica,"Aplicação de sistemas digitais em conversores estáticos,Aplicações de sistemas microprocessados,Conversores DC-DC,Conversores estáticos e acionamentos elétricos,Filtros ativos de potência,Teorias de controle aplicadas em Eletrônica de Potência,Topologias de Conversores Estáticos de Potência"
Grupo de Alta Tensão,ISEE,Estácio Tavares Wanderley Neto,Engenharia Elétrica,"Biomateriais, materiais Elétricos,Coordenação de Isolamento,Equipamentos elétricos,Transitórios eletromagnéticos,Técnicas de Alta Tensão"
NUMMARH-Núcleo de Modelagem e Simulação em Meio Ambiente e Recursos e Sistemas Hídricos,IRN,Fernando das Graças Braga da Silva,Engenharias; Engenharia Sanitária, APLICAÇÃO DE TECNOLOGIAS DE MACHINE LEARNING PARA OPERAÇÃO E AUTOMAÇÃO DE SISTEMA DE ABASTECIMENTO DE ÁGUA COMO MÓDULO PARA CIDADES INTELIGENTES;- MODELAGEM DE PROCESSOS DE RESÍDUOS SÓLIDOS E ENERGIA;- MODELAGEM E SIMULAÇÃO APLICADA A SIMULAÇÃO DE EFLUENTES EM RIOS;- MODELOS DE SIMULAÇÃO E OTIMIZAÇÃO APLICADOS A REDES DE DISTRIBUIÇÃO DE ÁGUA COM O INTUITO DE REDUÇÃO DE PERDAS E MELHORIA DA EFICIÊNCIA HÍDRICO-ENERGÉTICA e outras
"Grupo de Pesquisa - VISUALIZANDO, INVESTIGANDO e DISCUTINDO AMBIENTES de APRENDIZAGEM em MATEMÁTICA VIDAA-M

",IMC,Flavia Sueli Fabiani Marcatto,Ciências Humanas; Educação,"Comunidades de Desenvolvimento Profissional em instrução matemática,Resolução, Proposição e Exploração de Problemas"
GRUPO DE DESENVOLVIMENTO E CARACTERIZAÇÃO DE MATERIAIS E SIMULAÇÃO NUMÉRICA,IEM,Geovani Rodrigues,Engenharia de Materiais e Metalúrgica,"Modelagem e simulação,Produção e caracterização estrutural de materiais"
GEMEC: Grupo de Estudos em Mecânica Experimental e Computacional,IEM,Guilherme Ferreira Gomes,Engenharia Mecânica,"Detecção de danos em estruturas aeronáuticas,Dinâmica e Controle de Sistemas Mecânicos (aeronaves não tripuladas, aeronaves flexíveis, asa rígida e asa flexível),Métodos de otimização e Redes Neurais Artificiais,Métodos dos elementos de contorno,Métodos dos elementos finitos,Métodos inversos,Vibrações Mecânicas"
Astrofísica,IFQ,Hektor Sthenos Alves Monteiro,Astronomia,"Astrofísica do Meio Interestelar,Astrofísica Estelar,Astrofísica Galáctica,Astronomia Fundamental,Buracos Negros,Instrumentação Astronômica,Núcleos Ativos de Galáxias,Software e redução de dados"
"Teoria, experimentos e modelagem de fenômenos fora do equilíbrio",IEM,Helcio Francisco Villa Nova,Engenharia Mecânica,"Chamas Difusivas,Chamas lentas"
Núcleo de Estudos em Sistemas Particulados,IRN,Hugo Perazzini,Engenharias; Engenharia Química,"Aplicação de redes neurais em sistemas particulados,Caracterização de sistemas particulados,Caracterização e secagem de biomassa,Secagem de material sólido particulado,Secagem de pastas e suspensões"
Análise de equações diferenciais parciais não-lineares ,IMC,Jacson Simsen,Ciências Exatas e da Terra; Matemática,"Padrões em Problemas de Reação e Difusão,Problemas de evolução com expoentes variáveis,Sistemas dinâmicos não-lineares de dimensão infinita"
TIES - Tecnologias Integradas e Engenharia Sustentável,IEM,Jesús Antonio García Sánchez,Engenharia Mecânica,"Eco-engineering UNIFEI - Ee UNIFEI,Fluid dynamics and Turbomachinery (FDT) UNIFEI,MSU-Metamaterials and Structures UNIFEI"
NOMATI - NÚCLEO DE OTIMIZAÇÃO DA MANUFATURA E DE TECNOLOGIA DA INOVAÇÃO,IEPG,João Roberto Ferreira,Engenharia de Produção,"Engenharia de Fatores Humanos e Usabilidade,Gestão da inovação para desenvolvimento de novos produtos,Melhoria contínua e sistemas de gestão normalizados,Métodos quantitativos aplicados à qualidade e à manufatura,Otimização de produtos de empresas de base tecnológica,Processos de soldagem e ensaios não destrutivos,Processos de transformação e automação"
NEAAD - Núcleo de Estudos Avançados para Auxílio à Decisão,IEPG,José Arnaldo Barra Montevechi,Engenharia de Produção,"Aplicação da simulação a eventos discretos e dinâmicas de aprendizagem, no ensino da engenharia de produção e administração,Aplicação integrada de projeto de experimentos, simulação a eventos discretos e otimização,Desenvolvimento das etapas de projetos de simulação e seu uso como ferramenta de tomada de decisões,Gestão do conhecimento em projetos de simulação,Simulação Baseada em Agentes,Sistemas de Informação para apoio à decisão"
Engenharia de Bioprocessos,IRN,Jose Renato Guimaraes,Engenharias; Engenharia Química,"Modelagem e Simulação de Bioprocessos e Equipamentos Industriais,Processos fermentativos e enzimáticos,Separação e purificação de biomoléculas,Tratamento de Águas Residuárias"
Educação em Ciências e Educação Ambiental,IFQ,Luciano Fernandes Silva,"Ciências Humanas,Educação ","Ciência, Tecnologia, Sociedade e Ambiente,Educação em Ciências e Educação Ambiental"
Teoria Qualitativa das Equações Diferenciais,IMC,Luis Fernando de Osório Mello,Ciências Exatas e da Terra; Matemática,"Equações Diferenciais Aplicadas,Geometria das Singularidades,Injetividade Global,Matemática Elementar,Mecânica Celeste: Configurações Centrais e o Problema de N-Corpos,Sistemas Dinamicos e Teoria Ergódica,Teoria Qualitativa das Equações Diferenciais da Geometria"
"Expossoma, Meio Ambiente, Informação e Saúde (E+) ",IRN,Marcelo de Paula Corrêa,Ciências Ambientais,"Conforto Ambiental,Expossoma e mudanças climáticas,Radiação solar e efeitos fotobiológicos sobre os seres vivos"
Grupo de Investigação em Física do estado Sólido (GIFES) ,IFQ,Marcelos Lima Peres,Física ,Física do Estado Sólido
Grupo de Materiais e Tecnologia,IEM,Maria Virginia Gelfuso,Engenharia de Materiais e Metalúrgica ,"Cerâmicas eletroeletrônicas,Metais e Processos,Metamateriais,Polímeros e Compósitos Poliméricos,Tecnologia do Pó"
Grupo de Pesquisa em Práticas Formativas e Educativas em Ciências e Matemática,IMC,Mariana Feiteiro Cavalari Silva,Ciências Humanas; Educação,"Formação de Professores de Ciências e de Matemática,Gênero, História das Ciências, História da Matemática e suas articulações com Práticas Formativas e/ou Educativas,Práticas Educativas Inovadoras em Ciências e em Matemática"
Grupo de Síntese Orgânica e Química Medicinal (GSOQM),IFQ,Maurício Frota Saraiva,Química,"Desenvolvimento computacional, análise conformacional e investigação de propriedades estruturais e eletrônicas de novos compostos potencialmente bioativos,Síntese e caracterização de moléculas bioativas: desenvolvimento de novos protótipos candidatos a fármacos."
Síntese de Heterociclos e Avaliações Biológicas (SHAB),IFQ,Maurício Silva dos Santos,Ciências Exatas e da Terra; Química,"Avaliação da atividade tripanocida de derivados heterocíclicos,Síntese de sistemas heterocíclicos"
"Núcleo de Controle, Otimização e Modelagem de Processos Químicos - COMPEQI",IRN,Maximilian Joachim Hodapp,Engenharias; Engenharia Química,"Análise e desenvolvimento de estratégias de controle avançado,Análise, modelagem e simulação em processos,Controle Tolerante a Falhas"
Grupo de Pesquisa e Extensão em Políticas Socioambientais - GPEPSA,IRN,Michelle Simoes Reboita,Ciências Ambientais,"Educação Ambiental,Gestão em Unidades de Conservação,Mudanças Climáticas,Plano Diretor,Políticas e Conflitos Socioambientais"
Grupo de Pesquisa Tecnologias e Cultura Digital na Educação em Ciências (TeCDEC),IFQ,Mikael Frank Rezende Junior ,"Ciências Humanas,Educação ","Currículo, Narrativas Digitais e Tecnologias,Tecnologias Móveis e Experimentação Remota"
Grupo de Química Ambiental da UNIFEI - QUIAFEI,IFQ,Milady Renata Apolinário da Silva,Química,"Biodigestão, biodegradação e biorremediação,Contaminantes emergentes em matrizes aquosas,Conversão da Biomassa,Gerenciamento de Resíduos Químicos (PGRQ) de Laboratórios de ensino e pesquisa,Materiais para remediação,Processos Oxidativos Avançados,Química Atmosférica"
Cibersegurança e Sistemas Críticos,IESTI,Otávio de Souza Martins Gomes,Engenharias; Engenharia Elétrica,"Computação Quântica,Cibersegurança em Tecnologia Operacional,Inteligência de ameaças,Sistemas Críticos,Sistemas Físicos-Cibernéticos"
"Núcleo de Estudos em Formação Docente, Tecnologias e Inclusão (NEFTI)",IFQ,Paloma Alinne Alves Rodrigues,Educação,"Formação de professores,Inclusão,Tecnologia aplicada à educação"
"Núcleo OFF - Cultura, Educação e Linguagens",IFQ,Paulo Cezar Nunes Junior,Sociologia,"Cidade, políticas públicas e estudos culturais,Cultura, educação e extensão universitária,Cultura, tecnologia e processos de subjetivação"
Grupo de Estudos da Qualidade da Energia Elétrica - GQEE,ISEE,Paulo Márcio da Silveira,Engenharias; Engenharia Elétrica,"Análise de Desempenho de Protocolos de Comunicação definidos pela IEC 61850,Desenvolvimento de Novas Funções de Proteção, Controle e Monitoramento para um Sistema de Automação de Subestações (SAS),Desenvolvimento de Sistemas Centralizados de Proteção e Controle (CPC) para um SAS baseado na IEC 61850,Harmônicos em Redes Elétricas - Impactos, Custos e Mitigação,Identificação, Classificação e Localização de Faltas em Sistemas de Multigeração, Transmissão e Distribuição de Energia Elétrica,Monitoramento Inteligente da Qualidade da Energia em redes elétricas,Novas Fontes de Suprimento Energia Elétrica para Sistemas Industriais Isolados,Proteção de Linhas de Transmissão com Complexidade Operacional,Proteção Elétrica Utilizando Técnicas de Inteligência Artificial (IA),Variações de Tensão de Curta Duração (VTCDs) - Sensibilidade de Equipamentos Elétricos e Processos Produtivos, Indicadores, Impactos Econômicos e Meios de Mitigação."
GRDev - Game Research and Development,IMC,Phyllipe de Souza Lima Francisco,Ciências Exatas e da Terra; Ciência da Computação,"Algoritmos e Computação Aplicados a Jogos, Design de Jogos, Jogos Educativos para o Ensino de Ciências Exatas"
Grupo de Fluidodinämica e Máquinas de Fluxo - GFMF,IEM,Ramiro Gustavo Ramirez Camacho,Engenharia Mecânica,"Fluidodinâmica, otimização, Máquinas de Fluxo e Energia"
GES - Grupo de Estudos em Saneamento,IRN,Regina Mambeli Barros,Engenharias; Engenharia Civil,"COMPOSTAGEM DE RESÍDUOS ORGÂNICOS,CONSERVAÇÃO DA ÁGUA E REÚSO DE EFLUENTES,CONTENÇÃO E APROVEITAMENTO DE ÁGUAS PLUVIAIS,CONTROLE DE ODORES,ECOTOXICOLOGIA AQUÁTICA,GESTÃO INTEGRADA DE RESÍDUOS URBANOS,MODELAGEM MATEMÁTICA EM SANEAMENTO,REÚSO DE ÁGUA,SANEAMENTO ACÚSTICO,TRATAMENTO DE ÁGUAS E EFLUENTES"
"LogTranS - Grupo de Pesquisa em Logística, Transportes e Sustentabilidade",IEPG,Renato da Silva Lima,Engenharia de Transportes,"Logística Empresarial/Gestão da Cadeia de Suprimentos (SCM),Logística Reversa e Gestão de Resíduos,Mobilidade Urbana Sustentável,Modelagem & Simulação Computacional aplicados à Logística e aos Transportes"
Materiais opto-eletrônicos ,IFQ,Rero Marques Rubinger,Física,"Física da Matéria Condensada, Estrutura Eletrônica de átomos, moléculas e sistemas periódicos,Materiais Dielétricos e Propriedades Dielétricas,Materiais Não metálicos,Propriedades Óticas e Espectroscópicas de Materiais,Transporte Eletrônico e Propriedades elétricas"
Grupo de Engenharia de Sistemas - GESis,ISEE,Robson Celso Pires,Engenharias; Engenharia Elétrica,"Análise de Sistemas Elétricos de Potência,Confiabilidade de Sistemas Elétricos de Potência,Economia Aplicada à Sistemas Elétricos de Potência,Estabilidade de Sistemas Elétricos de Potência,Métodos Probabilísticos Aplicados a Sistemas Elétricos de Potência,Otimização Aplicada a Sistemas Elétricos de Potência,Supervisão da Segurança Operativa de Sistemas Elétricos de Potência,Técnicas de Inteligência Artificial Aplicadas a Sistemas Elétricos de Potência"
Solos e Meio Ambiente - SOMA,IRN,Rogério Melloni,Agronomia,"Análise e Gestão Ambiental,Dinâmica da água no solo,Estudo de áreas contaminadas por metais pesados,Fertilidade e conservação de solos,Geoprocessamento aplicado ao Planejamento Ambiental e outras."
Grupo de Estudo e Pesquisa em Educação Interdisciplinar - GEPEI,IFQ,Rogério Rodrigues,Educação,"Desenvolvimento e Sociedade,Desenvolvimento, Tecnologia e Educação,Educação do Corpo,Educação e Psicanálise,Educação, Trabalho e Saúde,Fundamentos da Educação"
Grupo de Eletrônica de Potência e Controle Industrial (GEPCI) ,IESTI,Rondineli Rodrigues Pereira,Engenharias; Engenharia Elétrica,"Concepção e Construção de Filtros Ativos de Potência,Controle Inteligente de Conversores"
Grupo de Pesquisa em Transferência de Calor,IEM,Sandro Metrevelle Marcondes de Lima e Silva,Engenharia Mecânica,"Transferência de Calor,Dinâmica dos Fluidos Computacional,Problemas Inversos Aplicados a Processos de Fabricação,Problemas inversos em transferência de calor"
Grupo de Microeletrônica,IESTI,Tales Cleber Pimenta,Engenharia Elétrica,"Circuitos Analógicos em Baixa Tensão,Circuitos Integrados de Aplicações Biomédicas,Nanofotônica - Guias Ópticos e Cristais Fotônicos,Processamento de Sinais de Aplicações Biomédicas,Projeto de Circuitos Integrados"
Estudo em Compósitos Cimentícios Especiais e Mecânica da Fratura Não Linear,IRN,Valquíria Claret dos Santos,Engenharias; Engenharia Civil,Compósitos autoadensáveis com a substituição de materiais recicláveis
Research group on Fundamental Interactions and Quantum Systems - FIQS,IFQ,Vitorio Alberto De Lorenci,Física,"Analog models of/for gravity,Gravitational waves,Mathematical and Computational Modeling and Simulation,Mathematical physics,Optics,Quantum fields in nontrivial spaces"
"Núcleo Travessia - Núcleo de Pesquisa, Extensão e Apoio à Agricultura Familiar e Desenvolvimento Rural",IEPG,Viviane Guimarães Pereira,Ciência Política,Desenvolvimento e Sociedade
