Número do processo - SIPAC/SIGAA,Título da atividade,Nome do (a) Coordenador (a) da atividade,Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada)
CR070-2024,curso introdutório de programação em Matlab e Python aplicados a problemas de Engenharia Elétrica,THIAGO CLE DE OLIVEIRA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,23/09/24,13/12/24,PENDENTE,"R$0,00",
CR071-2024,Curso de Formação de Professores de Ciências da Educação Básica: Motores e Geradores Elétricos.,FABIO NAKAGOMI,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,30/09/24,04/10/24,SIM,"R$0,00",
CR072-2024,Introdução à operação de fresadora ferramenteira,PATRICIA KELLI SILVA DE OLIVEIRA,DIRETORIA DE EXTENSÃO TECNOLÓGICA E EMPRESARIAL,01/10/24,01/10/24,SIM,"R$0,00",
CR074-2024,Ministrar curso de Dinâmica dos Fluidos Computacional - Validação numérica com dados experimentais realizado pelos alunos de Fenômeno de transportes e Máquinas de Fluxo.,VAGNER FERREIRA DE OLIVEIRA,INSTITUTO DE ENGENHARIAS INTEGRADAS,14/10/24,01/11/24,SIM,"R$0,00",
CR075-2024,Tecnologias de Fabricação,PATRICIA KELLI SILVA DE OLIVEIRA,DIRETORIA DE EXTENSÃO TECNOLÓGICA E EMPRESARIAL,14/10/24,06/12/24,PENDENTE,"R$0,00",
CR076-2024,Participação em curso de Engenharia Econômica 2,JOSE ARNALDO BARRA MONTEVECHI,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/12/24,31/12/24,PENDENTE,"R$7.370,00",
CR077-2024,Participação em curso de Extensão em Engenharia Econômica 2,EDSON DE OLIVEIRA PAMPLONA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,03/12/24,30/12/24,PENDENTE,"R$11.000,00",
CR078-2024,Análise do Ciclo de Vida e RenovaCalc (CONTINUAÇÃO),RAFAEL SILVA CAPAZ,INSTITUTO DE RECURSOS NATURAIS,18/10/24,31/12/24,PENDENTE,"R$5.623,05",
CR079-2024,Mulheres na Liderança,MARIA ELIZABETE VILLELA SANTIAGO,CENTRO DE EDUCAÇÃO,28/10/24,31/12/24,PENDENTE,"R$0,00",
CR080-2024,Curso de LaTeX,EGON LUIZ MULLER JUNIOR,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,11/11/24,22/11/24,SIM,"R$0,00",
CR081-2024,Técnicas de Soldagem com Eletrodos Revestidos,PATRICIA KELLI SILVA DE OLIVEIRA,PRÓ-REITORIA DE EXTENSÃO,07/11/24,30/11/24,PENDENTE,"R$0,00",
CR082-2024,Gestão de Projetos: Trilhando o futuro,CLAUDIO ERNANI MARTINS OLIVEIRA,INSTITUTO DE ENGENHARIAS INTEGRADAS,23/11/24,14/12/24,PENDENTE,"R$0,00",
CR083-2024,Workshop sobre SolidWorks®,BRUNO SILVA COTA,INSTITUTO DE ENGENHARIAS INTEGRADAS,29/11/24,12/12/24,PENDENTE,"R$0,00",
EV039-2024,II Jornada de Mecânica Celeste da UNIFEI,LUIS FERNANDO DE OSORIO MELLO,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,15/08/24,16/08/24,SIM,"R$5.060,00","R$5.060,00"
EV044-2024,4a. Jornadas Internacionales “PENDENTEsamiento Visual en lo Matemático,FLAVIA SUELI FABIANI MARCATTO,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,07/11/24,08/11/24,PENDENTE,"R$0,00",
EV061-2024,Encontro Unifei Finance & Ágora/Z-Invest e palestra,EDSON DE OLIVEIRA PAMPLONA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,27/08/24,27/08/24,SIM,"R$0,00",
EV065-2024,Relato de Pesquisa - Julho 2024: Projeto Observatório de Inovação do Ensino da Engenharia de  Minas Gerais,LILIAN BARROS PEREIRA CAMPOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,10/07/24,11/07/24,SIM,"R$0,00",
EV066-2024,3ª Feira UNIFEI de Apoio ao Microempreendedor Local,TAISA CORREA,PRÓ-REITORIA DE EXTENSÃO,17/07/24,03/09/24,SIM,"R$0,00",
EV067-2024,II Simpósio Científico e Tecnológico do Programa de Pós-Graduação de Engenharia Mecânica (II SITMEC),ANTONIO AUGUSTO ARAUJO PINTO DA SILVA,INSTITUTO DE ENGENHARIA MECÂNICA,01/08/24,31/10/24,SIM,"R$4.819,60","R$4.819,60"
EV068-2024,"VII SIDTECS – Simpósio de Desenvolvimento, Tecnologias e Sociedade",JENIFFER DE NADAE,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,10/07/24,10/11/24,SIM,"R$0,00",
EV069-2024,I Congresso Nacional da Associação Brasileira de Engenharia Hídrica (I CONBREH),ANA PAULA MONI SILVA,INSTITUTO DE RECURSOS NATURAIS,23/10/24,25/10/24,SIM,"R$0,00",
EV070-2024,Bota Pra Fazer 2024,ANDREA APARECIDA DA COSTA MINEIRO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,19/07/24,20/12/24,PENDENTE,"R$0,00",
EV072-2024,Ciência e Tecnologia na UNIFEI e nas escolas,ALAN ARAUJO FREITAS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,08/08/24,31/12/24,PENDENTE,"R$0,00",
EV073-2024,3ª Feira UNIFEI de apoio as Associações e Cooperativas deItabira,DAILA DOS PASSOS VITORINO,DIRETORIA DE EMPREENDEDORISMO E INOVAÇÃO,07/08/24,05/09/24,PENDENTE,"R$0,00",
EV074-2024,Semana do Ar 2024,ANA CAROLINA VASQUES FREITAS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,12/08/24,14/08/24,SIM,"R$0,00",
EV075-2024,Semana de Tecnologias Aeronáuticas (STA),YOHAN ALI DIAZ MENDEZ,INSTITUTO DE ENGENHARIA MECÂNICA,09/09/24,13/09/24,SIM,"R$0,00",
EV076-2024,Projeto Rondon: Conectando Universidades e Comunidades,CAROLINA REZENDE PINTO NARCISO,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,07/08/24,26/08/24,SIM,"R$0,00",
EV077-2024,Startup Weekend Sustainability,ANDREA APARECIDA DA COSTA MINEIRO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/08/24,30/10/24,SIM,"R$0,00",
EV078-2024,Visita Técnica à General Electric (GE),SANDRA MIRANDA NEVES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,22/08/24,30/08/24,SIM,"R$0,00",
EV079-2024,Ciência em Órbita no Colégio Municipal Professora Didi Andrade.,FABIO NAKAGOMI,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,16/08/24,16/08/24,SIM,"R$0,00",
EV080-2024,Workshop AWC,TABATA NAKAGOMI FERNANDES PEREIRA,INSTITUTO DE ENGENHARIAS INTEGRADAS,15/08/24,19/08/24,SIM,"R$0,00",
EV081-2024,IV Encontro de Física Teórica GIFT-UNIFEI,EDUARDO HENRIQUE SILVA BITTENCOURT,INSTITUTO DE FÍSICA E QUÍMICA,12/08/24,20/12/24,PENDENTE,"R$0,00",
EV082-2024,XIX Job Shop,JENIFFER DE NADAE,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,27/08/24,28/08/24,SIM,"R$0,00",
EV083-2024,Palestra: A Qualidade de Energia Elétrica em ambientes industriais,THIAGO CLE DE OLIVEIRA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,23/08/24,23/08/24,SIM,"R$0,00",
EV084-2024,Orientação Jurídica sobre enfrentamento ao racismo e injúria racial,HELOISA HELENA DOS SANTOS AMANCIO,OUVIDORIA,28/08/24,28/08/24,PENDENTE,"R$0,00",
EV085-2024,Uso de geotecnologias frente aos desafios do setor de Saneament,RAFAEL SILVA CAPAZ,INSTITUTO DE RECURSOS NATURAIS,16/08/24,13/09/24,SIM,"R$990,00","R$990,00"
EV087-2024,Valorização Energética de Biomassa Residual,DIEGO MAURICIO YEPES MAYA,INSTITUTO DE ENGENHARIA MECÂNICA,26/08/24,26/08/24,SIM,"R$0,00",
EV088-2024,V Seminário Regional sobre Metodologias Ativas no Ensino Superior e o IV Encontro Internacional sobre Metodologias Ativas,LILIAN BARROS PEREIRA CAMPOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,20/08/24,31/12/24,PENDENTE,"R$0,00",
EV089-2024,Encontro Desportivo Universitário,RICARDO DE MELO DIAS,COORDENAÇÃO DE EDUCAÇÃO FÍSICA E ESPORTES,06/09/24,15/09/24,SIM,"R$0,00",
EV090-2024,International Experience Day - 2ª edição,FLAVIA FERNANDA CARVALHO DA MOTTA,PRÓ-REITORIA DE EXTENSÃO,21/08/24,11/09/24,SIM,"R$0,00",
EV091-2024,Relato de Inovação no Ensino da Engenharia - Setembro 2024: Projeto Observatório de Inovação do Ensino da  Engenharia de Minas Gerais,LILIAN BARROS PEREIRA CAMPOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,21/08/24,11/09/24,SIM,"R$0,00",
EV092-2024,IX SEMANA DA QUÍMICA,SANDRO JOSE DE ANDRADE,INSTITUTO DE FÍSICA E QUÍMICA,03/09/24,06/09/24,SIM,"R$0,00",
EV093-2024,XVII Ciência em Cena,JANE RAQUEL SILVA DE OLIVEIRA,INSTITUTO DE FÍSICA E QUÍMICA,01/09/24,31/12/24,PENDENTE,"R$0,00",
EV094-2024,II SEMANA DA COMPUTAÇÃO DA UNIFEI - Campus Itajubá,VANESSA CRISTINA OLIVEIRA DE SOUZA,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,26/08/24,30/10/24,SIM,"R$10.000,00","R$10.000,00"
EV095-2024,Journey 2 - Jornadas Empreendedoras 2024,ANDREA APARECIDA DA COSTA MINEIRO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,05/09/24,30/09/24,SIM,"R$0,00",
EV096-2024,Relato de Inovação no Ensino - Currículo Baseado em Projetos: um Curso de Engenharia Concebido por Trabalhos Acadêmicos Integradores - Ifmg - Arcos,LILIAN BARROS PEREIRA CAMPOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,24/09/24,24/09/24,SIM,"R$0,00",
EV097-2024,I Encontro Internacional sobre Competências Profissionais no Ensino Superior (I EICPES),RENATA DOS SANTOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,09/09/24,13/12/24,PENDENTE,"R$7.094,50",
EV098-2024,Bate-papo com Pedro Oliveira – Head de Planejamento Patrimonial e Sucessório da 3ARIVA Investimentos,EDSON DE OLIVEIRA PAMPLONA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,12/09/24,12/09/24,SIM,"R$0,00",
EV099-2024,1ª Feira do Desapego,DAILA DOS PASSOS VITORINO,DIRETORIA DE EMPREENDEDORISMO E INOVAÇÃO,05/09/24,18/10/24,PENDENTE,"R$0,00",
EV100-2024,26º Encontro da Rede Mineira de Propriedade Intelectual,TAISA CORREA,PRÓ-REITORIA DE EXTENSÃO,12/09/24,18/11/24,PENDENTE,"R$0,00",
EV101-2024,Encontro de Técnicos em Administração e Recursos Humanos,DALVA MARIA DE CASTRO,INSTITUTO DE ENGENHARIAS INTEGRADAS,11/09/24,30/09/24,SIM,"R$0,00",
EV102-2024,I Roda de Conversa: Força Feminina na Engenharia a Dupla Jornada de Mãe e Profissional,BIANCA CABRAL CALDEIRA,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,17/09/24,17/09/24,SIM,"R$0,00",
EV103-2024,Mobilidade urbana e o papel dos atores na solução de problemas de trânsito,DALVA MARIA DE CASTRO,INSTITUTO DE ENGENHARIAS INTEGRADAS,11/09/24,30/09/24,SIM,"R$0,00",
EV104-2024,Não Mexe Com a Minha Cor - Terceira Jornada sobre Questões Raciais,PAULO CEZAR NUNES JUNIOR,INSTITUTO DE FÍSICA E QUÍMICA,16/09/24,30/11/24,SIM,"R$0,00",
EV105-2024,Relato de Inovação no Ensino: Núcleo de Formação Continuada dos Docentes da Faculdade de Engenharia - Núcleo FOCO,LILIAN BARROS PEREIRA CAMPOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,18/09/24,02/10/24,SIM,"R$0,00",
EV106-2024,1ª Mostra de filmes inclusivos,FERNANDO EUSTAQUIO GUEDES,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,26/09/24,13/12/24,PENDENTE,"R$0,00",
EV107-2024,"Palestra: Mercado de trabalho, elaboração de currículo, estágio e entrevista voltada a empregabilidade.",PAULO HENRIQUE DA SILVA CAMPOS,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,04/10/24,04/10/24,SIM,"R$0,00",
EV108-2024,"Workshop ""Introdução à Aerotermodinâmica - um estudo de caso do Boeing 737-900ER"" da empresa Arca Tecnologia e visita técnica ao aeroporto Coronel Altino Machado de Oliveira (GVR/SBGV) em Governador Valadares",DIOGO LEONARDO FERREIRA DA SILVA,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,20/09/24,21/09/24,SIM,"R$0,00",
EV110-2024,Reunião de Módulo Coletivo - Escola Estadual de Educação Básica Major João Pereira,YALIN BRIZOLA YARED,INSTITUTO DE RECURSOS NATURAIS,21/09/24,21/09/24,SIM,"R$0,00",
EV111-2024,"V SEPROD: “Construindo hoje, o futuro da engenharia e inovação!""",TABATA NAKAGOMI FERNANDES PEREIRA,INSTITUTO DE ENGENHARIAS INTEGRADAS,19/09/24,31/10/24,SIM,"R$0,00",
EV112-2024,II  Roda de Conversa: Empoderamento e Resistência: Mulheres Negras nas Engenharias,BIANCA CABRAL CALDEIRA,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/10/24,01/10/24,SIM,"R$0,00",
EV113-2024,I Semana do Meteorologista,VANESSA SILVEIRA BARRETO CARVALHO,INSTITUTO DE RECURSOS NATURAIS,14/10/24,16/10/24,SIM,"R$0,00",
EV114-2024,II festival de Vôlei de Praia do CEVP (Centro de Excelência em Vôlei de Praia),RICARDO DE MELO DIAS,COORDENAÇÃO DE EDUCAÇÃO FÍSICA E ESPORTES,03/10/24,07/10/24,SIM,"R$0,00",
EV116-2024,Colecionismo: A arte de colecionar histórias.,FLÁVIA DA SILVA CORDEIRO,DIRETORIA DE CULTURA E EXTENSÃO SOCIAL,14/10/24,08/11/24,SIM,"R$0,00",
EV117-2024,I Colóquio de Inovações Tecnológicas Computacionais para Eficiência Hídrica em Saneamento - Experiências do Grupo NUMMARH - UNIFEI,FERNANDO DAS GRACAS BRAGA DA SILVA,INSTITUTO DE RECURSOS NATURAIS,04/11/24,04/11/24,SIM,"R$0,00",
EV118-2024,Mecânica Celeste em Itajubá - Celestial Mechanics in Itajubá,LUIS FERNANDO DE OSORIO MELLO,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,09/12/24,10/12/24,PENDENTE,"R$8.640,00",
EV119-2024,Visita Técnica Viação Itabira,DALVA MARIA DE CASTRO,INSTITUTO DE ENGENHARIAS INTEGRADAS,10/10/24,15/11/24,PENDENTE,"R$0,00",
EV120-2024,Workshop Mobilidade Urbana,DALVA MARIA DE CASTRO,INSTITUTO DE ENGENHARIAS INTEGRADAS,07/10/24,31/10/24,PENDENTE,"R$0,00",
EV121-2024,Palestra Princípios da neuroeducação: práticas e resultados,LILIAN BARROS PEREIRA CAMPOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,27/09/24,16/10/24,SIM,"R$0,00",
EV122-2024,XI  SeRe - Semana de Recursos Energéticos,LUCILENE DE OLIVEIRA RODRIGUES CHAVES,INSTITUTO DE ENGENHARIA MECÂNICA,15/10/24,15/11/24,PENDENTE,"R$0,00",
EV123-2024,28º SEMINÁRIO ACADÊMICO INTERNACIONAL APEC 2024: DIÁSPORA CIENTÍFICA E DIVERSIDADE CULTURAL NA PESQUISA,CARLOS ALBERTO MAXIMO PIMENTA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,14/10/24,20/12/24,PENDENTE,"R$0,00",
EV124-2024,IntegraMat 2024,FERNANDO PEREIRA MICENA,COORDENAÇÃO DE CURSO DE GRADUAÇÃO - MATEMÁTICA BACHARELADO,06/11/24,08/11/24,SIM,"R$0,00",
EV125-2024,Itabira Summit 2024,GISELLE DE PAULA QUEIROZ CUNHA,PRÓ-REITORIA DE EXTENSÃO,22/10/24,16/11/24,SIM,"R$0,00",
EV126-2024,Relato de Inovação no Ensino - UFMG - Programa ENG200: Projeto Observatório de Inovação do Ensino da Engenharia de Minas Gerais,LILIAN BARROS PEREIRA CAMPOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,23/10/24,30/10/24,SIM,"R$0,00",
EV127-2024,Caracterização mecânica de materiais utilizando vibração acústica,JESUS ANTONIO GARCIA SANCHEZ,INSTITUTO DE ENGENHARIA MECÂNICA,18/10/24,18/10/24,SIM,"R$0,00",
EV128-2024,JURA 2024 – UNIFEI 40 anos do MST e as lutas agrárias no Sul de Minas Gerais,,INSTITUTO DE RECURSOS NATURAIS,11/11/24,11/11/24,SIM,"R$0,00",
EV129-2024,Visitas Técnicas para Empresas/Instituições Aeronáuticas (Complemento à STA2024),YOHAN ALI DIAZ MENDEZ,INSTITUTO DE ENGENHARIA MECÂNICA,23/10/24,29/11/24,SIM,"R$0,00",
EV130-2024,Aprender a aprender: Estratégias para promover a aprendizagem,MARIA ELIZABETE VILLELA SANTIAGO,CENTRO DE EDUCAÇÃO,04/11/24,19/11/24,SIM,"R$0,00",
EV131-2024,Workshop Èko: Ancestralidade e Futuro,TATIANA ROCHA AMARO,INSTITUTO DE RECURSOS NATURAIS,25/10/24,25/11/24,PENDENTE,"R$0,00",
EV132-2024,SEMEEL - Semana da Engenharia Elétrica,THIAGO CLE DE OLIVEIRA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,05/11/24,07/11/24,PENDENTE,"R$0,00",
EV133-2024,Semana de Investimento ao Voluntário,LUIZ EUGENIO VENEZIANI PASIN,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,02/11/24,02/11/24,SIM,"R$0,00",
EV134-2024,Segunda Mostra de Profissões - UNIFEI Campus Itabira  ,CLEIDE BEATRIZ GOMES DOS REIS,DIRETORIA DO CAMPUS DE ITABIRA,30/10/24,22/11/24,PENDENTE,"R$0,00",
EV135-2024,Palestra com a Arca Tecnologia - Introdução à Aerotermodinâmica: um estudo de caso do Boeing 737-900ER,DIOGO LEONARDO FERREIRA DA SILVA,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,01/11/24,20/11/24,SIM,"R$0,00",
EV136-2024,Semana do Curso de Engenharia Mecânica - Itajubá,PAULO PEREIRA JUNIOR,INSTITUTO DE ENGENHARIA MECÂNICA,11/11/24,31/12/24,PENDENTE,"R$0,00",
EV137-2024,Encontro das Novas Artes (ENA - 2024),JOSE HAMILTON CHAVES GORGULHO JUNIOR,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,15/11/24,23/11/24,SIM,"R$0,00",
EV138-2024,Jornada de Saúde e Segurança do Trabalho,LUCIANA DE MELO GOMIDES,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,05/11/24,29/11/24,PENDENTE,"R$0,00",
EV139-2024,Palestra Semiconductors industry overview,GUSTAVO DELLA COLLETTA,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,18/11/24,18/11/24,SIM,"R$0,00",
EV140-2024,Semana Nacional de Ciência e Tecnologia,TAISA CORREA,PRÓ-REITORIA DE EXTENSÃO,21/10/24,01/11/24,PENDENTE,"R$0,00",
EV141-2024,Gestão do tempo: definindo metas,ISABELA MAGANHA,INSTITUTO DE ENGENHARIAS INTEGRADAS,02/10/24,08/10/24,SIM,"R$0,00",
EV142-2024,Ciência em Órbita no Campus da UNIFEI Itabira.,FABIO NAKAGOMI,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,22/11/24,22/11/24,SIM,"R$0,00",
EV143-2024,"Aula Aberta  Do GPIO ao GPT: Transformando seu Raspberry Pi em um Hub de IA - Small Language Models (SLM)"" em Dispositivos de Borda",JOSE ALBERTO FERREIRA FILHO,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,09/12/24,09/12/24,PENDENTE,"R$0,00",
EV144-2024,"participar de apoio à coordenação de evento ""Workshop em Finanças e Investimentos""",EDSON DE OLIVEIRA PAMPLONA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,09/12/24,11/12/24,PENDENTE,"R$3.300,00",
EV145-2024,Treinamento - Primeiros Socorros,DENISE RANSOLIN SORANSO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,18/11/24,21/11/24,SIM,"R$0,00",
EV146-2024,"PERSPECTIVAS DA ENERGIA SOLAR, ENERGIA EÓLICA E GÁS NATURAL",ROGERIO JOSE DA SILVA,INSTITUTO DE ENGENHARIA MECÂNICA,18/11/24,27/11/24,SIM,"R$0,00",
