Número do processo - SIPAC/SIGAA,Título da atividade,Nome do (a) Coordenador (a) da atividade,Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada)
CR017-2024,"POLÍTICA ENERGÉTICA, GERAÇÃO E USO DE ENERGIA - MÓDULO I",ROGERIO JOSE DA SILVA,INSTITUTO DE ENGENHARIA MECÂNICA,29/04/24,12/07/24,SIM,"R$0,00",
CR019-2024,Inclusão digital: apresentação e treinamento de aplicativos básicos do cotidiano,FISCHER JONATAS FERREIRA,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/05/24,20/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
CR022-2024,Introdução às tecnologias emergentes aplicadas à educação,CLAUDIA ELIANE DA MATTA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,06/05/24,10/06/24,SIM,"R$0,00",
CR023-2024,EMPREENDEDORISMO NA ESCOLA - MELHORIAS DO AMBIENTE DE ENSINO-APRENDIZAGEM.,LUIZ EUGENIO VENEZIANI PASIN,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,16/05/24,16/05/24,SIM,"R$0,00",
CR024-2024,Workshop de como utilizar o CFD através do software ANSYS CFX,FABIO SANTOS NASCIMENTO,INSTITUTO DE ENGENHARIAS INTEGRADAS,20/05/24,17/06/24,SIM,"R$0,00",
CR025-2024,Práticas educativas de Inteligência Artificial na Educação Básica,CLAUDIA ELIANE DA MATTA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,05/08/24,02/09/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
CR026-2024,EMPREENDEDORISMO NA ESCOLA - MELHORIAS NO ENSINO ESCOLAR.,LUIZ EUGENIO VENEZIANI PASIN,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,24/05/24,24/05/24,SIM,"R$0,00",
CR027-2024,PROJETO A ARTE DE SER,JOAO RICARDO NEVES DA SILVA,DIRETORIA DE ASSUNTOS ESTUDANTIS,20/05/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
CR028-2024,Propriedade Intelectual for noobs (ITAJUBÁ - 5ª Edição),DAILA DOS PASSOS VITORINO,NÚCLEO DE INOVAÇÃO TECNOLÓGICA,23/05/24,28/06/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
CR029-2024,Propriedade Intelectual for noobs (ITABIRA - 4ª Edição),DAILA DOS PASSOS VITORINO,DIRETORIA DE EMPREENDEDORISMO E INOVAÇÃO,23/05/24,06/06/24,PENDENTE,"R$0,00",
CR030-2024,Curso Cisco CCNA,RODRIGO APARECIDO DA SILVA BRAGA,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,03/06/24,30/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
CR031-2024,Oficina de astrofotografia para a Equipe Falcon-6 Rocket Design com o professor e astrônomo Lucas Drumond,GABRIELA DA FONSECA DE AMORIM,INSTITUTO DE ENGENHARIAS INTEGRADAS,31/05/24,10/06/24,SIM,"R$0,00",
CR032-2024,Minicurso de Design de Logotipos,ELISA DE CASSIA SILVA RODRIGUES,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,07/06/24,08/06/24,SIM,"R$0,00",
CR034-2024,Introdução: EDLE-ENTREPRENEURSHIP DYNAMIC LEARNING   (APRENDIZAGEM DINÂMICA EMPREENDEDORA EM ENGENHARIA) para professores  ,ELZO ALVES ARANHA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,05/06/24,10/06/24,SIM,"R$0,00",
CR036-2024,Operação Segura e Eficiente da Serra de Fita,PATRICIA KELLI SILVA DE OLIVEIRA,DIRETORIA DE EXTENSÃO TECNOLÓGICA E EMPRESARIAL,06/06/24,06/06/24,SIM,"R$0,00",
CR037-2024,Curso Introdutório de Python,EGON LUIZ MULLER JUNIOR,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,16/06/24,28/06/24,PENDENTE,"R$0,00",
CR038-2024,Noções básicas sobre proteção de estruturas contra descargas atmosféricas,RONALDO EUGENIO DE SOUZA FILHO,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,07/06/24,24/06/24,PENDENTE,"R$0,00",
CR039-2024,"Participação em curso de especialização na UFMG  Curso de Especialização - Fontes de Energia Renováveis - Geração, Operação e Integração ",CARLOS BARREIRA MARTINEZ,INSTITUTO DE ENGENHARIA MECÂNICA,01/08/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$6.000,00",
CR040-2024,Macros e VBA para Planilhas Eletrônicas (Excel 2) - Turma 2024.2,SANDRA MIRANDA NEVES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,05/08/24,13/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
CR042-2024,Pesquisa Operacional I - continuação,JOSÉ ARNALDO BARRA MONTEVECHI,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,22/07/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
EV001-2024,X Seminário de Recursos Naturais (SRN),ADINELE GOMES GUIMARAES,INSTITUTO DE RECURSOS NATURAIS,01/01/24,30/09/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
EV003-2024,"2º Encontro Sul-Mineiro em História, Filosofia e Ensino de Ciências (ESMHFEC)",EVANDRO FORTES ROZENTALSKI,INSTITUTO DE FÍSICA E QUÍMICA,01/03/24,06/05/24,SIM,"R$5.505,88","R$5.505,88"
EV004-2024,Visitas guiadas no Laboratório de Tecnologias Aeronáuticas (Hangar) para escolas do ensino fundamental e médio,YOHAN ALI DIAZ MENDEZ,INSTITUTO DE ENGENHARIA MECÂNICA,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
EV005-2024,INTEGRA UNIFEI 2024,FLÁVIA DA SILVA CORDEIRO,INSTITUTO DE RECURSOS NATURAIS,26/02/24,19/04/24,SIM,"R$0,00",
EV006-2024,2ª Feira UNIFEI de Apoio ao Microempreendedor Local,TAISA CORREA,PRÓ-REITORIA DE EXTENSÃO,01/03/24,11/04/24,SIM,"R$0,00",
EV007-2024,Conexão Corpo a Corpo,KARINA ARRUDA ALMEIDA,INSTITUTO DE RECURSOS NATURAIS,24/02/24,02/03/24,SIM,"R$0,00",
EV008-2024,CulturalMente,FLÁVIA DA SILVA CORDEIRO,DIRETORIA DE CULTURA E EXTENSÃO SOCIAL,06/03/24,08/04/24,SIM,"R$0,00",
EV009-2024,Startup day,TABATA NAKAGOMI FERNANDES PEREIRA,INSTITUTO DE ENGENHARIAS INTEGRADAS,16/03/24,16/03/24,SIM,"R$0,00",
EV010-2024,NEABI no integra - atividade de acolhimento,MILADY RENATA APOLINARIO DA SILVA,INSTITUTO DE FÍSICA E QUÍMICA,06/03/24,14/03/24,PENDENTE,"R$0,00",
EV011-2024,Mesa de discussão: o que é um pipeline de dados na sua empresa?,MELISE MARIA VEIGA DE PAULA,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,21/03/24,21/03/24,SIM,"R$0,00",
EV012-2024,Aula Inaugural da Graduação em Administração - Recepção e Acolhimento dos alunos ingressantes em 2024,ISABEL CRISTINA DA SILVA ARANTES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,11/03/24,11/03/24,PENDENTE,"R$0,00",
EV013-2024,Seminário Institucional de Avaliação do PIBID,PALOMA ALINNE ALVES RODRIGUES,INSTITUTO DE FÍSICA E QUÍMICA,16/04/24,18/04/24,SIM,"R$0,00",
EV014-2024,Recepção aos Ingressantes 2024 - Campus Itabira,CLEIDE BEATRIZ GOMES DOS REIS,DIRETORIA DO CAMPUS DE ITABIRA,08/03/24,30/04/24,SIM,"R$0,00",
EV015-2024,III Roda de Conversa e Acolhimento Acadêmico,ISABEL CRISTINA DA SILVA ARANTES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,15/03/24,15/03/24,PENDENTE,"R$0,00",
EV016-2024,Dia Mundial da Água - 2024,ANA PAULA MONI SILVA,INSTITUTO DE RECURSOS NATURAIS,18/03/24,22/03/24,SIM,"R$0,00",
EV017-2024,Caminhada das Minas!,ANA PAULA SILVA FIGUEIREDO,INSTITUTO DE RECURSOS NATURAIS,18/03/24,30/07/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
EV018-2024,ITAIPU NO CONTEXTO ENERGÉTICO BRASILEIRO,LUIZ LENARTH GABRIEL VERMAAS,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,25/03/24,29/03/24,SIM,"R$0,00",
EV019-2024,Calouríada 2024,KARINA ARRUDA ALMEIDA,INSTITUTO DE RECURSOS NATURAIS,28/03/24,05/04/24,SIM,"R$0,00",
EV020-2024,Visita técnica no Centro de Distribuição (CD) da empresa Sotreq em São Gonçalo do Rio Abaixo - MG,GABRIELA DA FONSECA DE AMORIM,INSTITUTO DE ENGENHARIAS INTEGRADAS,01/04/24,25/04/24,SIM,"R$655,41","R$655,41"
EV021-2024,Palestra : A Jornada da Prosperidade,PAULO MOHALLEM GUIMARAES,INSTITUTO DE ENGENHARIAS INTEGRADAS,02/04/24,02/04/24,SIM,"R$0,00",
EV022-2024,Seminários de Matemática para a Graduação,RICK ANTONIO RISCHTER,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,04/04/24,13/06/24,PENDENTE,"R$0,00",
EV023-2024,Jornada Profissional: da Unifei a P&G,TABATA NAKAGOMI FERNANDES PEREIRA,INSTITUTO DE ENGENHARIAS INTEGRADAS,29/03/24,02/04/24,SIM,"R$0,00",
EV024-2024,Bate-papo sobre mitos e a realidade da vivência na EJ pioneira do campus,ISABELA MAGANHA,INSTITUTO DE ENGENHARIAS INTEGRADAS,11/04/24,11/04/24,SIM,"R$0,00",
EV025-2024,Feira Inova + Itabira – 2ª Feira UNIFEI de apoio as Associações e Cooperativas de Itabira,TAISA CORREA,PRÓ-REITORIA DE EXTENSÃO,03/04/24,07/06/24,SIM,"R$0,00",
EV026-2024,Palestra CRIA,ANDREA APARECIDA DA COSTA MINEIRO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,05/04/24,28/06/24,SIM,"R$0,00",
EV027-2024,I Workshop sobre uso de Biocombustíveis Avançados em Motores de Combustão Interna,CHRISTIAN JEREMI CORONADO RODRIGUEZ,INSTITUTO DE ENGENHARIA MECÂNICA,10/06/24,10/07/24,PENDENTE,"R$0,00",
EV028-2024,Mesa Redonda Liderança e comunicação Efetiva,TAISA CORREA,PRÓ-REITORIA DE EXTENSÃO,12/04/24,23/04/24,SIM,"R$0,00",
EV029-2024,HardTech Innovation,TAISA CORREA,PRÓ-REITORIA DE EXTENSÃO,15/04/24,24/06/24,PENDENTE,"R$0,00",
EV030-2024,Psicologia Reversa: A Neurose Negra e o Complexo de Édipo Branco na Cultura Brasileira,HELOISA HELENA DOS SANTOS AMANCIO,OUVIDORIA,10/04/24,10/04/24,PENDENTE,"R$0,00",
EV031-2024,Psicologia reversa: A neurose negra é o complexo de édipo branco na cultura brasileira,HELOISA HELENA DOS SANTOS AMANCIO,OUVIDORIA,17/04/24,17/04/24,PENDENTE,"R$0,00",
EV032-2024,Torneio Inter Unifei - TIU,ZAQUEU OLIVEIRA DOS SANTOS,DIRETORIA DE SAÚDE E QUALIDADE DE VIDA,29/04/24,13/05/24,PENDENTE,"R$0,00",
EV034-2024,Journey - Jornadas Empreendedoras (1-2024),ANDREA APARECIDA DA COSTA MINEIRO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,16/04/24,23/04/24,SIM,"R$0,00",
EV035-2024,Hardtech Innovation: Competição de Drones,BRUNO GUAZZELLI BATISTA,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,17/06/24,20/06/24,PENDENTE,"R$0,00",
EV036-2024,Minicurso: Cadastro Ambiental Rural (CAR),RAFAEL SILVA CAPAZ,INSTITUTO DE RECURSOS NATURAIS,23/04/24,03/05/24,SIM,"R$300,00","R$300,00"
EV037-2024,Encontro do Grupo Família Down e Amigos de Itabira - 2024,LILIAN BARROS PEREIRA CAMPOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,23/04/24,23/04/24,SIM,"R$0,00",
EV038-2024,After Markets 1: Palestra com Diretor de Política Monetária do Banco Central Gabriel Galípolo,EDSON DE OLIVEIRA PAMPLONA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,27/05/24,27/05/24,SIM,"R$0,00",
EV039-2024,II Jornada de Mecânica Celeste da UNIFEI,LUIS FERNANDO DE OSORIO MELLO,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,15/08/24,16/08/24,ATIVIDADE EM EXECUÇÃO,"R$5.060,00",
EV040-2024,"2024 - ""Composteira Comunitária"" nas escolas públicas de Itabira-MG: ações de sensibilização e educação ambiental",GABRIELA DA FONSECA DE AMORIM,INSTITUTO DE ENGENHARIAS INTEGRADAS,15/05/24,20/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
EV041-2024,Conversa com a psicóloga ALINE CAMPOS sobre Inteligência Emocional e Liderança: Ação para desenvolvimento pessoal e profissional dos membros da equipe Falcon-6 Rocket Design,GABRIELA DA FONSECA DE AMORIM,INSTITUTO DE ENGENHARIAS INTEGRADAS,17/05/24,03/06/24,SIM,"R$0,00",
EV042-2024,Elas por Elas,FLÁVIA DA SILVA CORDEIRO,DIRETORIA DE CULTURA E EXTENSÃO SOCIAL,22/04/24,10/05/24,SIM,"R$0,00",
EV044-2024,4a. Jornadas Internacionales “Pensamiento Visual en lo Matemático,FLAVIA SUELI FABIANI MARCATTO,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,07/11/24,08/11/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
EV045-2024,ON THE MOON AGAIN: Observação do céu noturno no Campus de Itabira da Unifei com a Falcon-6 Rocket Design,GABRIELA DA FONSECA DE AMORIM,INSTITUTO DE ENGENHARIAS INTEGRADAS,31/05/24,17/06/24,PENDENTE,"R$0,00",
EV046-2024,[Terça no Coworking] Empreendedores Universitários: Desafios e Oportunidades,FULVIA STEFANY SILVA DE OLIVEIRA,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,04/06/24,04/06/24,PENDENTE,"R$0,00",
EV047-2024,Maratona Girlscode,MIRIAN DE LOURDES NORONHA MOTTA MELO,INSTITUTO DE ENGENHARIA MECÂNICA,30/05/24,11/06/24,PENDENTE,"R$0,00",
EV048-2024,Exposição Artes Rupestres,FLÁVIA DA SILVA CORDEIRO,DIRETORIA DE CULTURA E EXTENSÃO SOCIAL,01/06/24,30/06/24,SIM,"R$0,00",
EV049-2024,Comunicação e Extensão em Engenharia,CLAUDIO ERNANI MARTINS OLIVEIRA,INSTITUTO DE ENGENHARIAS INTEGRADAS,30/05/24,14/06/24,SIM,"R$0,00",
EV050-2024,I Encontro de Química Medicinal,MAURICIO SILVA DOS SANTOS,INSTITUTO DE FÍSICA E QUÍMICA,01/06/24,09/08/24,PENDENTE,"R$10.569,00",
EV051-2024,Café & Prosa Consulting,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,10/06/24,17/06/24,PENDENTE,"R$0,00",
EV052-2024,Workshop de planejamento e avaliação dos cursos de graduação da UNIFEI,EDMILSON MARMO MOREIRA,PRÓ-REITORIA DE GRADUAÇÃO,07/06/24,07/06/24,PENDENTE,"R$0,00",
EV053-2024,Relato de Pesquisa: Projeto Observatório de Inovação do Ensino da Engenharia de Minas Gerais,LILIAN BARROS PEREIRA CAMPOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,30/05/24,06/06/24,SIM,"R$0,00",
EV054-2024,Palestra com Johannes Marxs - Assessor de Investimentos na Verso (XP Investimentos).,EDSON DE OLIVEIRA PAMPLONA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,06/06/24,06/06/24,SIM,"R$0,00",
EV055-2024,Explorando a UNIFEI Itabira: Jornada para a Engenharia Mecânica,FABIO SANTOS NASCIMENTO,INSTITUTO DE ENGENHARIAS INTEGRADAS,07/06/24,12/07/24,PENDENTE,"R$0,00",
EV056-2024,II Vem Passarinhar Itajubá,THIAGO VERNASCHI VIEIRA DA COSTA,INSTITUTO DE RECURSOS NATURAIS,06/06/24,06/06/24,PENDENTE,"R$0,00",
EV057-2024,Modelagem e Empoderamento Empresarial: Da Ideia ao Sucesso,MIRIAN DE LOURDES NORONHA MOTTA MELO,INSTITUTO DE ENGENHARIA MECÂNICA,05/06/24,10/06/24,PENDENTE,"R$0,00",
EV058-2024,Cidades Regenerativas,DANIELE ORNAGHI SANT'ANNA,INSTITUTO DE RECURSOS NATURAIS,10/06/24,10/06/24,SIM,"R$0,00",
EV059-2024,Arraiá Unifei 2024,FLÁVIA DA SILVA CORDEIRO,DIRETORIA DE CULTURA E EXTENSÃO SOCIAL,14/06/24,31/07/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
EV060-2024,VII FÓRUM MINEIRO DE CIDADES INTELIGENTES E SUSTENTÁVEIS,GISELLE DE PAULA QUEIROZ CUNHA,PRÓ-REITORIA DE EXTENSÃO,14/06/24,28/06/24,PENDENTE,"R$0,00",
EV061-2024,Encontro Unifei Finance & Ágora/Z-Invest e palestra,EDSON DE OLIVEIRA PAMPLONA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,27/08/24,27/08/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
EV062-2024,[Terça no Coworking] Visitação de alunos da educação básica à UNIFEI,FULVIA STEFANY SILVA DE OLIVEIRA,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,27/06/24,13/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
EV063-2024,Transforme seu negócio em um empreendimento de sucesso,ISABELA MAGANHA,INSTITUTO DE ENGENHARIAS INTEGRADAS,20/06/24,25/06/24,PENDENTE,"R$0,00",
EV064-2024,Encontro de Startups de Inteligência Artificial,MIRIAN DE LOURDES NORONHA MOTTA MELO,INSTITUTO DE ENGENHARIA MECÂNICA,28/06/24,06/07/24,PENDENTE,"R$0,00",
EV065-2024,Relato de Pesquisa - Julho 2024: Projeto Observatório de Inovação do Ensino da Engenharia de  Minas Gerais,LILIAN BARROS PEREIRA CAMPOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,10/07/24,11/07/24,PENDENTE,"R$0,00",
EV066-2024,3ª Feira UNIFEI de Apoio ao Microempreendedor Local,TAISA CORREA,PRÓ-REITORIA DE EXTENSÃO,17/07/24,03/09/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
EV067-2024,II Simpósio Científico e Tecnológico do Programa de Pós-Graduação de Engenharia Mecânica (II SITMEC),ANTONIO AUGUSTO ARAUJO PINTO DA SILVA,INSTITUTO DE ENGENHARIA MECÂNICA,01/08/24,31/10/24,ATIVIDADE EM EXECUÇÃO,"R$4.819,60",
EV068-2024,"VII SIDTECS – Simpósio de Desenvolvimento, Tecnologias e Sociedade",JENIFFER DE NADAE,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,10/07/24,10/11/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
EV069-2024,I Congresso Nacional da Associação Brasileira de Engenharia Hídrica (I CONBREH),ANA PAULA MONI SILVA,INSTITUTO DE RECURSOS NATURAIS,23/10/24,25/10/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
EV070-2024,Bota Pra Fazer 2024,ANDREA APARECIDA DA COSTA MINEIRO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,19/07/24,20/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PD001-2024,Ensaios elétricos - FUPAI,ESTACIO TAVARES WANDERLEY NETO,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,01/01/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$673.301,97",
PD002-2024,Ensaios Elétricos FAPEPE,ESTACIO TAVARES WANDERLEY NETO,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,01/01/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$321.882,36",
PG001-2024,Programa Liga de Finanças UNIFEI,EDSON DE OLIVEIRA PAMPLONA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,25/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ001-2024,Visitação em escolas públicas e particulares da microrregião de Itajubá,GISCARD FRANCIMEIRE CINTRA VELOSO,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,11/03/24,15/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ002-2024,Prestação de serviço (Parte 2) para utilização da infraestrutura do laboratório de motores vinculado ao CH2V - Estudo da combustão do HVO com H2 verde em MCI a ignição por compressão,CHRISTIAN JEREMI CORONADO RODRIGUEZ,INSTITUTO DE ENGENHARIA MECÂNICA,02/01/24,30/05/24,SIM,"R$50.856,44","R$50.856,44"
PJ003-2024,Ensaios de eficiência Energética de Bombas Hidráulicas 2024 ,ROBERTO ALVES DE ALMEIDA,INSTITUTO DE RECURSOS NATURAIS,01/01/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$434.457,52",
PJ004-2024,Aplicação de Métodos Computacionais para Previsão de Duração e Frequência de Interrupção de Energia em Estações Distribuidoras - Fase 8,EDVARD MARTINS DE OLIVEIRA,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,08/01/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$47.111,11",
PJ005-2024,Oratória e Comunicação - Versão 2024,BETANIA MAFRA KAIZER,INSTITUTO DE FÍSICA E QUÍMICA,01/01/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$6.600,00",
PJ006-2024,Projeto Aerodinâmico de ventilador Axial de Baixa Pressão-Parte 2,RAMIRO GUSTAVO RAMIREZ CAMACHO,INSTITUTO DE ENGENHARIA MECÂNICA,01/01/24,30/10/24,ATIVIDADE EM EXECUÇÃO,"R$78.431,34",
PJ007-2024,Treinamento e avaliação de Usabilidade em Equipamentos Médicos,EGON LUIZ MULLER JUNIOR,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,08/01/24,30/09/24,ATIVIDADE EM EXECUÇÃO,"R$63.200,00",
PJ008-2024,Metodologia de Otimização para Reatores de Núcleo de Ar Visando Minimização de Custos de Fabricação,GUILHERME FERREIRA GOMES,INSTITUTO DE ENGENHARIA MECÂNICA,01/01/24,20/12/24,ATIVIDADE EM EXECUÇÃO,"R$15.800,00",
PJ009-2024,Produção de Material Multimídia para Disciplinas e Cursos Massivos e Abertos (MOOC) -  NEOA/UNIFEI (Renovação),ANA PAULA DE PAIVA PEREIRA,NÚCLEO DE EDUCAÇÃO ONLINE E ABERTA,01/01/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ010-2024,Desenvolvimento de Drone Autônomo para Aplicação de Revestimento em Superfícies - Projeto DAARS - Continuação 2024,KLEBER ROBERTO DA SILVA SANTOS,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,01/01/24,31/05/24,PENDENTE,"R$8.000,00",
PJ011-2024,Estudo experimental sobre transferência de calor externa em tubos de aço durante o processo de têmpera- prorrogação 2024,JUAN JOSE GARCIA PABON,INSTITUTO DE ENGENHARIA MECÂNICA,01/01/24,30/06/24,SIM,"R$5.520,00","R$5.520,00"
PJ012-2024,Certificação e ensaios de produtos de tecnologia da Informação e Telecomunicação -  FAPEPE,JOSE CARLOS GRILO RODRIGUES,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,02/01/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$372.000,00",
