Número do processo - SIPAC/SIGAA,Título da atividade,Nome do (a) Coordenador (a) da atividade,Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada)
EV062-2025,III SimpOsio CientIfico e TecnolOgico do Programa de POs-GraduaCAo em Engenharia MecAnica - SITMEC,ANTONIO AUGUSTO ARAUJO PINTO DA SILVA,INSTITUTO DE ENGENHARIA MECÂNICA,01/08/25,01/12/25,SIM,,"R$3.518,00"
PJ164-2025,Black Bee Drones Ambiente Indoor,BRUNO GUAZZELLI BATISTA,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,01/08/25,31/12/25,NAO,"R$12.000,00",
PJ164-2025,Black Bee Drones Ambiente Indoor,BRUNO GUAZZELLI BATISTA,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,01/08/25,31/12/25,NAO,,
CR037-2025,Curso BAsico e IntermediArio para Planilhas EletrOnicas (Excel 1) - Turma 2025.2 (Online),SANDRA MIRANDA NEVES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/08/25,09/12/25,SIM,,
CR038-2025,Macros e VBA para Planilhas EletrOnicas (Excel 2) - Turma 2025.2,SANDRA MIRANDA NEVES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/08/25,12/12/25,SIM,,
PJ173-2025,"Diques de contenCAo como ferramenta de controle de inundaCOes, aplicaCOes e desempenho em Pouso Alegre (MG)",ALEXANDRE GERMANO MARCIANO,INSTITUTO DE RECURSOS NATURAIS,01/08/25,31/12/25,NAO,,
PJ168-2025,AnAlise hidrodinAmica do desastre do rompimento da barragem de Derna (LIbia),ALEXANDRE GERMANO MARCIANO,INSTITUTO DE RECURSOS NATURAIS,01/08/25,31/12/25,NAO,,
PJ168-2025,AnAlise hidrodinAmica do desastre do rompimento da barragem de Derna (LIbia),ALEXANDRE GERMANO MARCIANO,INSTITUTO DE RECURSOS NATURAIS,01/08/25,31/12/25,NAO,,
CR042-2025,Curso de Inverno - ProgramaCAo Competitiva - 2025,EDMILSON MARMO MOREIRA,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,06/08/25,08/08/25,SIM,,
PJ187-2025,Elvor - Plataforma Digital de SaUde MetabOlica com Monitoramento Inteligente de Tratamentos GLP-1,LAERCIO AUGUSTO BALDOCHI JUNIOR,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,08/08/25,21/12/25,NAO,"R$17.350,00",
PJ188-2025,Prototipagem de barras auxEticas como elemento estrutural em metaconcreto,RENATA NEVES PENHA,INSTITUTO DE ENGENHARIA MECÂNICA,08/08/25,31/12/25,NAO,"R$17.000,00",
PJ189-2025,Reciclagem de aparas de couro provenientes da indUstria de fabricaCAo de EPI´s,DANIELA SACHS,INSTITUTO DE FÍSICA E QUÍMICA,08/08/25,31/12/25,SIM,"R$16.000,00","R$16.000,00"
PJ190-2025,Sistema de ExtrusAo para Impressora 3D de Barro de Pequeno Porte e Baixo custo para a ElaboraCAo de Tijolos Crus e Pequenas Estruturas,JESUS ANTONIO GARCIA SANCHEZ,INSTITUTO DE ENGENHARIA MECÂNICA,08/08/25,31/12/25,NAO,"R$16.750,00",
PJ197-2025,FabricaCAo de Pisos Intertravados com Uso de ResIduos de ConstruCAo Civil: Alternativa SustentAvel para a IndUstria da ConstruCAo.,VALQUIRIA CLARET DOS SANTOS,INSTITUTO DE RECURSOS NATURAIS,08/08/25,31/12/25,SIM,"R$18.000,00","R$18.000,00"
PJ203-2025,Pesquisa e Desenvolvimento de MOdulo de DiagnOstico por IA para IdentificaCAo de Lacunas de Conhecimento atravEs de Plataforma Educacional Inovadora,CARLOS HENRIQUE DA SILVEIRA,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,08/08/25,31/12/25,NAO,"R$17.350,00",
PJ191-2025,Prototipagem do SISTEMA ESTABILIZADOR PARA SENSORIAMENTO REMOTO DO PERFIL VERTICAL DO VENTO EM SISTEMAS AQUATICOS,ARCILAN TREVENZOLI ASSIREU,INSTITUTO DE RECURSOS NATURAIS,08/08/25,31/12/25,NAO,"R$17.520,00",
PJ193-2025,Nanomed.ai: Desenvolvimento e ValidaCAo de Modelo de NegOcios B2B/B2C para Plataforma de InteligEncia Artificial em SaUde (Edital 04/2025),CARLOS EDUARDO SANCHES DA SILVA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,08/08/25,31/12/25,NAO,"R$18.000,00",
PJ195-2025,Desenvolvimento de um sistema de mapeamento e valorizaCAo de resIduos para conectar geradores e compradores em um mercado online de livre negociaCAo,MIRIAN DE LOURDES NORONHA MOTTA MELO,INSTITUTO DE ENGENHARIA MECÂNICA,08/08/25,31/12/25,NAO,"R$18.000,00",
PJ196-2025,ProtOtipo de plataforma modular para ensino e pesquisa em conversores multinIveis voltados para sistemas de energia renovAveis,WILSON CESAR SANT ANA ,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,08/08/25,31/12/25,NAO,"R$17.810,49",
PJ199-2025,MOdulo GiratOrio Universal para Acessibilidade em Bancos de AutomOveis,BRUNO SILVA DE SOUSA,INSTITUTO DE ENGENHARIA MECÂNICA,08/08/25,31/12/25,NAO,,
PJ201-2025,Ferramenta Online para Suporte à PrevisAo ClimAtica Sub-sazonal e Sazonal: Parte I - Indices de TeleconexAo,MICHELLE SIMOES REBOITA,INSTITUTO DE RECURSOS NATURAIS,08/08/25,31/12/25,SIM,"R$17.160,00","R$17.160,00"
EV098-2025,I Semana de Arte e Cultura,ISABEL CRISTINA DA SILVA ARANTES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,10/08/25,17/08/25,SIM,,
PJ176-2025,CafE com CiEncia,NEWTON DE FIGUEIREDO FILHO,INSTITUTO DE FÍSICA E QUÍMICA,11/08/25,29/08/205,NAO,,
PJ178-2025,Projeto de parceria com a Empresa Jonfra AutomaCAo para modernizaCAo dos processos de AutomaCAo do laboratOrio IndUstria 4.0,JEREMIAS BARBOSA MACHADO,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,13/08/25,19/12/25,SIM,,
PJ174-2025,Projeto Desafio Empresarial Joyson: CaracterizaCAo de materiais,ANTONIO CARLOS ANCELOTTI JUNIOR,INSTITUTO DE ENGENHARIA MECÂNICA,15/08/25,31/08/25,SIM,,
PJ180-2025,AplicaCAo de simulaCOes multifIsicas para estudos prAticos de fenOmenos eletromagnEticos - Parte I,ESTACIO TAVARES WANDERLEY NETO,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,17/08/25,31/12/25,NAO,,
EV070-2025,IA Sem ComplicaCAo: aumente sua produtividade com as ferramentas certas,CREDSON DE SALLES,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,21/08/25,21/08/25,SIM,,
CR036-2025,"AlfabetizaCAo midiAtica e informacional, educaCAo cientIfica e tecnologias emergentes",ALESSANDRA RODRIGUES,INSTITUTO DE FÍSICA E QUÍMICA,25/08/25,10/10/25,SIM,,
CR044-2025,ParalelizaCAo de Modelos de Machine Learning para Sistemas Embarcados,EDVARD MARTINS DE OLIVEIRA,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,25/08/25,28/08/25,SIM,,
PJ179-2025,BCTEC em Rede,ALAN ARAUJO FREITAS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,25/08/25,31/12/25,NAO,,
PJ206-2025,ProposiCAo de metodologia para estimativa de produCAo de sedimentos e turbidez nos diferentes cenArios da mineraCAo (CONTINUACAO DE PROJETO DE MESMO NOME INICIADO EM 2024),CARLOS BARREIRA MARTINEZ,INSTITUTO DE ENGENHARIA MECÂNICA,25/08/25,31/12/25,NAO,"R$33.710,12",
EV066-2025,Sistemas IoT AutOnomos Baseados em IA: Dos Desafios de Projeto às PreocupaCOes com a Confiabilidade,EDVARD MARTINS DE OLIVEIRA,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,26/08/25,26/08/25,SIM,,
EV046-2025,V Congresso Internacional e XI Workshop: Design & Materiais,ADILSON DA SILVA MELLO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,27/08/25,29/08/25,SIM,,
CR041-2025,ECNOLOGIA DE ROLAMENTOS E ANALISE DE FALHAS (ISO 15243),MARCOS MOURA GALVAO,INSTITUTO DE ENGENHARIAS INTEGRADAS,28/08/25,28/08/25,SIM,,
EV075-2025,Bota pra Fazer (Unifei) - 2025,ANDREA APARECIDA DA COSTA MINEIRO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,28/08/25,30/12/25,SIM,,
CR043-2025,Python aplicado à Engenharia ElEtrica,THIAGO CLE DE OLIVEIRA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,28/08/25,13/11/25,NAO,,
CR047-2025,Curso BAsico de Astronomia para Professores de CiEncias da Rede Municipal,GUILHERME AUGUSTO DIAS MONTEIRO,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,28/08/25,30/11/25,NAO,,
PS010-2025,Assessoria Sobre ClimatizaCAo de Data Centers,OSVALDO JOSE VENTURINI,INSTITUTO DE ENGENHARIA MECÂNICA,29/08/25,23/12/25,SIM,"R$61.400,00","R$61.400,00"
EV067-2025,SkyBee Drone Challenge 2025,BRUNO GUAZZELLI BATISTA,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,29/08/25,31/08/25,SIM,,
EV094-2025,Techstars_ Startup Weekend Smart Cities ItajubA,LUIZ GUILHERME RODRIGUES ANTUNES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,29/08/25,31/08/25,SIM,,
PS011-2025,CaracterizaCAo de Materiais [2025],DANIEL THOMAZINI,INSTITUTO DE ENGENHARIA MECÂNICA,01/09/25,31/12/25,NAO,"R$20.000,00",
EV068-2025,VALE - Unifei: SINSTITUTO DE ENGENHARIA MECÂNICAENS Hands ON,LUIZ FELIPE PUGLIESE,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,01/09/25,04/09/25,SIM,,
EV069-2025,Ciclo de seminArios do PPGCEM 2025.2,RENY ANGELA RENZETTI,INSTITUTO DE ENGENHARIAS INTEGRADAS,01/09/25,30/11/25,NAO,,
PS011-2025,CaracterizaCAo de Materiais [2025],DANIEL THOMAZINI,INSTITUTO DE ENGENHARIA MECÂNICA,01/09/25,31/12/25,NAO,"R$20.000,00",
EV085-2025,VI SeminArio Regional sobre Metodologias Ativas no Ensino Superior e o V Encontro Internacional sobre Metodologias Ativas,LILIAN BARROS PEREIRA CAMPOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/09/25,31/12/25,NAO,,
PJ185-2025,Modelagem MatemAtica nas Empresas de Itabira – Segunda Etapa,BRUNO COSTA COSCARELLI,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/09/25,19/12/25,NAO,,
PJ186-2025,CompartiLAR,CARLOS HENRIQUE PEREIRA MELLO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/09/25,31/12/25,NAO,"R$17.350,00",
PJ181-2025,PERSPECTIVAS: PASSADO E PRESENTE,MIRIAN DE LOURDES NORONHA MOTTA MELO,INSTITUTO DE ENGENHARIA MECÂNICA,01/09/25,31/12/25,NAO,"R$5.600,00",
PJ207-2025,Projeto I Festival de Canto Coral Unifei,ISABEL CRISTINA DA SILVA ARANTES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/09/25,30/09/25,SIM,,
CR051-2025,"ParticipaCAo em Curso de EspecializaCAo - Fontes de Energia RenovAveis - GeraCAo, OperaCAo e Integra-CAo",CARLOS BARREIRA MARTINEZ,INSTITUTO DE ENGENHARIA MECÂNICA,02/09/25,31/12/25,NAO,"R$7.425,00",
PJ182-2025,A Poda na ArborizaCAo Urbana: Um Estudo de Caso sobre a PercepCAo da PopulaCAo e a EducaCAo Ambiental,SAMARA CALCADO DE AZEVEDO,INSTITUTO DE RECURSOS NATURAIS,02/09/25,20/12/25,SIM,,
EV074-2025,VI SEPROD: Hub de carreiras - A conexAo com o mercado de produCAo.,CARLOS HENRIQUE DE OLIVEIRA,INSTITUTO DE ENGENHARIAS INTEGRADAS,03/09/25,31/10/25,SIM,,
PJ205-2025,Sistema de Apoio ao Protocolo de AVC no Hospital de ItajubA usando InteligEncia Artificial,MATHEUS BRENDON FRANCISCO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,03/09/25,31/12/25,NAO,,
EV073-2025,Roda de Conversa - Personalidades Negras e Suas VivEncias,TATIANA ROCHA AMARO,INSTITUTO DE RECURSOS NATURAIS,04/09/25,04/09/25,SIM,,
EV078-2025,Fundamentos de webservice com Enfase em cases de exploraCAo de Marte com APIs - evento educativo oferecido pela Arca tecnologia em parceria com a equipe Falcon-6 Rocket Design,GABRIELA DA FONSECA DE AMORIM,INSTITUTO DE ENGENHARIAS INTEGRADAS,05/09/25,05/09/25,SIM,,
EV083-2025,10ª Semana da QuImica – SemQ,EDVARD MARTINS DE OLIVEIRA,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,05/09/25,05/09/25,SIM,,
CR052-2025,Cultivo e ManutenCAo de DrosOfilas - Teoria e PrAtica,ELAINE DIAS DE FARIA,INSTITUTO DE RECURSOS NATURAIS,08/09/25,12/09/25,SIM,,
PJ183-2025,PercepCAo dos Moradores Ribeirinhos do Rio SapucaI sobre a Qualidade da Agua e sua ContribuiCAo para a FormulaCAo de PolIticas PUblicas,DANIEL CLEMENTE VINSTITUTO DE ENGENHARIAS INTEGRADASRA REGO DA SILVA,INSTITUTO DE RECURSOS NATURAIS,08/09/25,12/12/25,SIM,,
PJ184-2025,EspaCo Maker - InovaCAo e ConexAo,GUSTAVO HENRIQUE DE MAGALHAES GOMES,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,08/09/25,31/12/25,NAO,,
EV077-2025,Festival das CrianCas na quadra da Escola Municipal Marina BraganCa de MendonCa: Evento educativo oferecido para Escolas Municipais de Itabira pela equipe Falcon-6 Rocket Design com a colaboraCAo da equipe Composteira ComunitAria e em parceria com a Secretaria Municipal de EducaCAo,GABRIELA DA FONSECA DE AMORIM,INSTITUTO DE ENGENHARIAS INTEGRADAS,09/09/25,26/09/25,SIM,,
PJ208-2025,ModernizaCAo de LaboratOrios para preparaCAo dos Futuros Engenheiros AeronAuticos especializados em Fatores Humanos,YOHAN ALI DIAZ MENDEZ,INSTITUTO DE ENGENHARIA MECÂNICA,10/09/25,10/12/25,SIM,"R$80.000,00","R$80.000,00"
CR049-2025,IntroduCAo ao QGIS,ELIANE MARIA VINSTITUTO DE ENGENHARIAS INTEGRADASRA,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,12/09/25,26/09/25,SIM,,
EV072-2025,Primeira Fase da Maratona SBC de ProgramaCAo,EDMILSON MARMO MOREIRA,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,13/09/25,13/09/25,SIM,,
EV084-2025,Primeira Jam na UNIFEI,JOSE HAMILTON CHAVES GORGULHO JUNIOR,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,14/09/25,14/09/25,SIM,,
EV100-2025,SIEC – Semana In Loco de Engenharia Civil 2025,MARCIA VIANA LISBOA MARTINS,INSTITUTO DE RECURSOS NATURAIS,14/09/25,10/10/25,SIM,,
EV081-2025,1º Encontro Nacional dos Programas de EducaCAo Tutorial (PET) da Integridade da InformaCAo,FAGNER LUIS GOULART DIAS,INSTITUTO DE ENGENHARIA MECÂNICA,15/09/25,15/10/25,SIM,,
CR050-2025,Curso LaTeX,EGON LUIZ MULLER JUNIOR,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,15/09/25,29/09/25,SIM,,
PJ204-2025,SaUde da pele e mudanCas climAticas,MARCELO DE PAULA CORREA,INSTITUTO DE RECURSOS NATURAIS,15/09/25,31/12/25,SIM,"R$28.670,40","R$28.670,40"
CR054-2025,InstrumentaCAo Industrial II,EDSON DA COSTA BORTONI,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,15/09/25,31/12/25,NAO,"R$24.735,82",
CR058-2025,Modelagem HidrodinAmica e AnAlise de InundaCOes com HEC-RAS: Fundamentos e AplicaCOes,IVAN FELIPE SILVA DOS SANTOS,INSTITUTO DE RECURSOS NATURAIS,15/09/25,24/10/25,SIM,,
EV080-2025,"Oficina de Zabumba do Projeto ""ForrO do Lindo""",LINDOMAR MATIAS GONCALVES,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,16/09/25,16/09/25,SIM,"R$400,00",
EV093-2025,Segunda EdiCAo do Engenharia em Foco,CREDSON DE SALLES,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,16/09/25,19/09/25,SIM,,
PJ213-2025,PROJETO ITI-TECH - RobOtica Educacional,JULIANO DE ALMEIDA MONTE MOR,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,16/09/25,31/12/25,NAO,,
PS014-2025,Ensaio de ventiladores axiais de baixa pressAo - 2025,RAMIRO GUSTAVO RAMIREZ CAMACHO,INSTITUTO DE ENGENHARIA MECÂNICA,16/09/25,30/11/25,NAO,,
CR053-2025,AplicaCAo prAtica de GEmeos Digitais na ProteCAo de Sistemas ElEtricos,CARLOS ALBERTO VILLEGAS GUERRERO,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,17/09/25,11/12/25,NAO,,
EV090-2025,Visita TEcnica à Helibras (ItajubA - MG),SANDRA MIRANDA NEVES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,18/09/25,25/09/25,SIM,,
EV095-2025,ConexAo UNIFEI – Do Ensino MEdio à GraduaCAo,FERNANDA RODRIGUES DA SILVA,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,19/09/25,31/12/25,NAO,,
EV088-2025,"""Composteira ComunitAria 2025"" na cidade de Itabira-MG: instalaCAo e manutenCAo de composteiras em escolas com a participaCAo de professores e alunos do Ensino Fundamental e MEdio para destinaCAo de resIduos dos refeitOrios",GABRIELA DA FONSECA DE AMORIM,INSTITUTO DE ENGENHARIAS INTEGRADAS,22/09/25,15/12/25,NAO,,
PJ210-2025,1º Ciclo de SeminArios de InteraCAo CientIfica em MatemAtica e AplicaCOes,LUANA DE LIMA SILVA RIBEIRO,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,22/09/25,12/12/25,SIM,,
EV086-2025,De onde eles vEm - Jeferson TenOrio 2 - Acesso/PermanEncia e Exito,HELOISA HELENA DOS SANTOS AMANCIO,OUV,23/09/25,23/09/25,SIM,,
PJ222-2025,"Mobilidade urbana, arborizaCAo e sustentabilidade: aplicaCOes para o Plano de ArborizaCAo Urbana de Itabira- MG",HELENA MENDONCA FARIA,INSTITUTO DE ENGENHARIAS INTEGRADAS,23/09/25,31/12/25,NAO,,
EV092-2025,ProduCAo de ConteUdos Informativos para Redes Sociais,FERNANDA RODRIGUES DA SILVA,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,26/09/25,31/12/25,NAO,,
PJ224-2025,CiEncia na Montanha,PAULO CEZAR NUNES JUNIOR,INSTITUTO DE FÍSICA E QUÍMICA,28/09/25,31/10/25,SIM,,
PJ216-2025,DESAFIO EMPRESARIAL JOYSON: OtimizaCAo de tempo e sequEncia das atividades de setup em injetoras,JULIANA HELENA DAROZ GAUDENCIO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,29/09/25,05/12/25,SIM,,
PJ218-2025,Desafio Empresarial - Joyson: ReduCAo de CO2 no processo de fabricaCAo dos volantes,JENIFFER DE NADIRETORIA DE ASSUNTOS ESTUDANTIS,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,29/09/25,19/12/25,SIM,,
EV104-2025,ParticipaCAo como palestrante no sEtimo encontro tEcnico de PPPs e ConcessOes dos tribunais de conta estaduais,EDSON DE OLIVEIRA PAMPLONA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,29/09/25,01/10/25,SIM,,
PS016-2025,OtimizaCAo de Projetos de Reatores por meio de TEcnicas de Aprendizado de MAquina,MATHEUS BRENDON FRANCISCO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,29/09/25,31/12/25,NAO,"R$22.425,80",
PJ220-2025,DESAFIO EMPRESARIAL MAHLE 2025.2,DENISE RANSOLIN SORANSO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,30/09/25,18/12/25,NAO,,
EV091-2025,II Jornada de EducaCAo Inclusiva,PALOMA ALINNE ALVES RODRIGUES,INSTITUTO DE FÍSICA E QUÍMICA,01/10/25,30/11/25,SIM,,
PJ211-2025,Desafio Empresarial - Mapeamento de processo de obtenCAo de dados para geraCAo de carga mAquina,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/10/25,03/11/25,SIM,,
PJ212-2025,Gato Preto,ROGERIO FERNANDES BRITO,INSTITUTO DE ENGENHARIAS INTEGRADAS,01/10/25,31/12/25,NAO,,
PJ214-2025,"PrestaCAo de serviCos de metalografia, ensaios mecAnicos, analise de composiCAo quImica, microscopia Otica, tratamentos tErmicos, mediCAo de dureza, mediCAo de espessura por ultrassom e qualificaCAo de soldadores",EDMILSON OTONI CORREA,INSTITUTO DE ENGENHARIA MECÂNICA,01/10/25,31/12/25,NAO,,
EV103-2025,NASA Space Apps Challenge,LUIZ GUILHERME RODRIGUES ANTUNES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,03/10/25,05/10/25,SIM,,
EV107-2025,III festival de VOlei de Praia do CEVP (Centro de ExcelEncia em VOlei de Praia),RICARDO DE MELO DIAS,DIRETORIA DE SAÚDE E QUALIDADE DE VIDA,03/10/25,09/11/25,SIM,,
EV096-2025,PROJECT DAY UNIFEI 2025,SANDRA MIRANDA NEVES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,06/10/25,27/11/25,SIM,,
CR056-2025,Curso IntrodutOrio de Python — CapacitaPET / PET Clima UNIFEI,FAGNER LUIS GOULART DIAS,INSTITUTO DE ENGENHARIA MECÂNICA,06/10/25,18/12/25,NAO,,
