Código,Título do Projeto de Pesquisa,Início,Término,Status,Financiador,Recursos Externos ,Equipe,Instituto Vinculado,Função (Discente/ Coordenador/Docente),Entrega de relatório (observações)
777,Desenvolvimento de um modelo simplificado de estimativa de radiação solar para aplicações em modelos de produtividade agricola ,18/12/2018,17/5/2024,Vigente,FAPEMIG,"R$ 69.678,00",Marcelo de Paula Corrêa,IRN ,Coordenador,"588 FAPEPE – Prorrogado pela FAPEMIG, segundo Conveniar, até 06/2023/Prorrogado até 17/05/2024"
779,Estudo de configurações centrais e soluções homográficas em mecânica celeste,1/11/2018,18/6/2024,Vigente,FAPEMIG  ,"R$ 32.025,00",Antonio Carlos Fernandes ,IMC ,Coordenador,585 FAPEPE - Prorrogado até 18/06/2024 de acordo com carta aditiva.
780,Configurações centrais em mecânica celeste,1/2/2019,28/2/2023,Expirado,CNPq ,"R$ 25.000,00",Antonio Carlos Fernandes ,IMC,Coordenador,Arquivado - Relatório final entregue - Prorrogado em 02/2022 até 02/2023
781,Detecção e Identificação de danos estruturais o por meio de inteligência computacional ,19/12/2018,18/12/2023,Vigente,FAPEMIG  ,"R$ 21.630,00",Guilherme Ferreira Gomes,IEM,Coordenador,"586 FAPEPE Prorrogado até dia 06/2023 ( Conveniar FAPEPE), Prorrogado por mais 06 meses conforme carta aditiva."
782,"Validação, otimização e usabilidade de simulação a eventos discretos aplicados na industria ",1/3/2018,17/5/2024,Vigente,FAPEMIG  ,"R$ 40.677,00",José Arnaldo Barra Montevechi,IEPG,Coordenador,Prorrogado de ofício pela FAPEMIG até 05/2024 - Prorrogado em 07/2021 até 07/2022 ( prorrogação autorizada email )- 584 FAPEPE – demanda Universal APQ 00234-18
783,Modelagem termodinâmica e experimentos críticos no sistema Ta-Ge-B,1/1/2019,18/6/2024,Vigente,FAPEMIG  ,"R$ 21.525,00",Antonio Augusto Araújo Pinto da Silva,IEM,Coordenador,Prorrogado de ofício pela FAPEMIG até 06/2024 590 FAPEPE
785,Caracterização das propriedades elétricas e físicas das tempestadesna região sudeste do Brasil ,1/12/2018,28/2/2023,Expirado,FAPEMIG  ,"R$ 24.743,25",Enrique Vieira Mattos,IRN,Coordenador,591 FAPEPE - Prorrogado pela DIP até 02/2023
790,Evolução química do disco e bojo de galáxias espirais,1/12/2018,18/5/2025,Vigente,FAPEMIG  ,"R$ 17.503,50",Oscar Cavichia de Moraes,IFQ,Coordenador,Prorrogado até 18/12/2022 de acordo com Carta Aditiva - Prorrogado até 18/05/2025 conforme carta aditiva recebida
791,Desenvolvimentoe aplicação de técnicas ultrassõnicas para inspeção de componentes mecânicos e caracterização de materiais,1/12/2018,17/3/2025,Vigente,FAPEMIG  ,"R$ 13.650,00",Paulo Pereira Junior,IEM,Coordenador,Prorrogado de ofício até 03/2025 em 01/2022 - 594 – FAPEPE
796,Otimização mecânica e acústica de um ventilador sem pás utilizando análises numérica e experimental,1/1/2019,28/3/2026,Vigente,FAPEMIG,"R$ 23.100,00 ",Jesús Antonio García Sánchez,IEM,Coordenador,Prorrogado até 28/03/2026 de acordo com Carta Aditiva - 623 FAPEPE
804,Um sistema de apoio a diagnóstico de TEA baseado em imagens de ressonância magnética e aprendizado de máquina,1/12/2018,1/7/2024,Vigente,FAPEMIG,"R$ 70.323,00","Guilherme Sousa Bastos
",IESTI,Coordenador,"598 FAPEPE – Prorrogado pela FAPEMIG, segundo Conveniar, até 07/2024"
806,Otimização das condições de usinagem em aços ligas especiais ,1/3/2019,1/2/2023,Expirado,CNPq,"R$ 110.400,00",João Roberto Ferreira,IEPG,Coordenador,Arquivado - Relatório final entregue
833,PET- Programa de educação tutorial conexões de saberes: formação de professores em ciências exatas,1/3/2013,1/3/2050,Vigente,CAPES- FNDE,"R$ 9.600,00",Agenor Pina da Silva,IFQ,Coordenador,
838,Programa de Educação Tutorial - PET Engenharia Mecânica,1/9/2019,1/5/2024,Vigente,MEC/ FNDE,,Sebastião Simões da Cunha JR,IEM,Coordenador,
840,Pesquisa e Desenvolvimento de Um Sistema Integrado de Aquisição de Sinais de EEG,1/10/2019,10/4/2024,Vigente,FAPEMIG,"R$ 50.400,00",Tales Cleber Pimenta,IESTI,Coordenador,Prorrogado até 10/04/2024 conforme carta aditiva - 656 FAPEPE
842,Diseño aerodinámico de una turbina eólica de eje vertical de baja potencia para aplicaciones en una región con importante potencial eólico en Boyacá,1/1/2020,31/3/2024,Vigente,Universidad Santo Tomás - Seccional Tunja - Colômbia,"R$ 643.000,00", Angie Lizeth Espinosa Sarmiento,IEM,Coordenador,prorrogado de 01/01/2021 para 01/03/2022 em 28/05/2020. Prorrogado até 03/2024 em 09/2021.
PIDI52-2019,"Conhecimento Especializado mobilizado por futuros professores na elaboração e implementação de propostas de ensino para a educação básica
",1/3/2020,28/2/2023,Expirado,Não possui ,,"
ELIANE MATESCO CRISTOVAO",IMC,Coordenador,Arquivado - Relatório final entregue e aprovado - Projeto prorrogado a pedido da coordenadora.
PIDI60-2019,"SISTEMA DE INFORMAÇÃO GERENCIAL PARA APURAÇÃO DE CUSTOS DAS INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR (IFES)
",1/3/2020,28/2/2023,Expirado,Não possui ,,"
ELIZABETE RIBEIRO SANCHES DA SILVA",IMC,Coordenador,Arquivado - Relatório final entregue - Prorrogado até 28/02/2023
PIDI49-2019,"FATORES QUE INFLUENCIAM O ACESSO DE MULHERES AO ENSINO SUPERIOR EM ÁREAS DE STEM (SCIENCE, TECHNOLOGY, ENGINEERING AND MATHEMATICS) NO BRASIL
",1/3/2020,28/2/2023,Expirado,Não possui ,,"
MARIANA FEITEIRO CAVALARI SILVA",IMC,Coordenador,Arquivado - Relatório final entregue - Prorrogado em 10/2021 para 02/2023
PIDI59-2019,Lugares Incendiários: imagens e distopias contemporâneas,1/3/2020,28/2/2023,Expirado,Não possui ,,PAULO CEZAR NUNES JUNIOR,IFQ,Coordenador,Prorrogado em 09/2021 até 02/2023
PIDI23-2019,"Estratégias para determinação e remoção de contaminantes emergentes em matrizes aquosas utilizando princípios da química verde
",1/3/2020,28/2/2023,Expirado,Não possui ,,Sandro José de Andrade,IFQ,Coordenador,Arquivado - Relatório final entregu e aprovado - Prorrogado em 03/2022 até 02/2023
PIDI100-2020,"Levantamento de características e formas de tratamento de efluentes industriais brasileiros
",1/8/2020,30/7/2023,Expirado,Não possui ,,André Aguiar Mendes,IRN,Coordenador,Prorrogado até 07/2023
PIDI72-2020,Materiais lamelares intercalados/funcionalizados com moléculas orgânicas para a produção de sensores químicos.,1/8/2020,30/7/2023,Expirado,Não possui ,,Fábio da Silva Lisboa,IFQ,Coordenador,Prorrogado em 06/2022 até 07/2023
PIDI85-2020,"Análise de viabilidade para desenvolvimento de arquitetura neuromórfica de baixa potência visando a implementação de um controlador MPPT para célula solar fotovoltaica em um sistema de energy harvesting.
",1/8/2020,30/7/2023,Expirado,Não possui ,,"
GABRIEL ANTONIO FANELLI DE SOUZA",IESTI,Coordenador,Prorrogado até 07/2023
PIDI75-2020,"Síntese e Caracterização de Sistemas Azólicos com Potencial Atividade Tripanocida
",1/8/2020,30/7/2023,Expirado,Não possui ,,Maurício Silva dos Santos,IFQ,Coordenador,Prorrogado até 07/2023
PVDI81-2020,"Estudo da viabilidade da união de processos para tratamento de efluentes
",1/8/2020,30/7/2023,Expirado,Não possui ,,Milady Renata Apolinário da Silva,IFQ,Coordenador,Prorrogado até 07/2023
PIDI103-2020,"Metodologias Ativas na Educação em Ciências da Natureza e Matemática
",1/8/2020,30/7/2023,Expirado,Não possui ,,"
NEWTON DE FIGUEIREDO FILHO",IFQ,Coordenador,Prorrogado até 07/2023
PVDI33-2019,"Estudo Teórico-Experimental em Transferência de Calor com Ênfase no Desenvolvimento de Técnicas de Problemas Inversos
",1/1/2019,17/6/2025,Vigente,FAPEMIG,"R$ 50.610,00 ",Sandro Metrevelle Marcondes de Lima e Silva,IEM,Coordenador,Prorrogado de ofício pela FAPEMIG até 06/2025
PVDI113-2020,"PET: Formação de Professores em Ciências Exatas
",1/8/2020,31/12/2023,Vigente,CAPES," R$ 108.000,00  ","
AGENOR PINA DA SILVA",IFQ,Coordenador,
PVDI120-2020,"Derivadores Rastreados por Satélite e Monitoramento Automático de Parâmetros Ambientais Aplicados ao Entendimento da Contribuição dos Afluentes para o Restabelecimento do Rio Doce
",1/11/2020,31/12/2025,Vigente,FAPEMIG,"R$ 943.558,31 ","
ARCILAN TREVENZOLI ASSIREU",IRN,Coordenador,
PVDI105-2020,"Biocombustíveis a partir de resíduos: combustão, energia e ciclos não convencionais
",1/3/2020,31/3/2024,Vigente,CNPq,"R$ 105.600,00 ","
CHRISTIAN JEREMI CORONADO RODRIGUEZ",IFQ,Coordenador,
PVDI108-2020,"Um novo catálogo de aglomerados abertos na era GAIA
",1/1/2020,31/1/2023,Expirado,CNPq," R$ 39.600,00  ",HEKTOR STHENOS ALVES MONTEIRO,IFQ,Coordenador,Arquivado - Relatório final entregue
PVDI107-2020,"MODELOS INTERDISCIPLINARES DE APOIO À DECISÃO PARA A CONSTRUÇÃO DA MOBILIDADE URBANA SUSTENTÁVEL
",1/3/2020,28/2/2023,Expirado,CNPq," R$ 39.600,00  ","
JOSIANE PALMA LIMA",IEPG,Coordenador,Arquivado - Relatório final entregue
PVDI106-2020,"LOGÍSTICA, TRANSPORTES E SUSTENTABILIDADE NO CONTEXTO DO GREEN SUPPLY CHAIN MANAGEMENT
",1/3/2020,28/2/2023,Expirado,CNPq," R$ 39.600,00  ",Renato da Silva Lima,IEPG,Coordenador, Arquivado - Relatorio Final entregue 
PVDI109-2020,"Flutuações quânticas do vácuo
",1/3/2020,28/2/2023,Expirado,CNPq," R$ 39.600,00  ","
VITORIO ALBERTO DE LORENCI",IFQ,Coordenador,
PIDI91-2018 ,Desenvolvimento de Próteses Híbridas para Membros Inferiores com Reforços 3D ,1/3/2018,18/6/2025,Vigente,FAPEMIG,"R$ 59.220,00 ",ANTONIO CARLOS ANCELOTTI JUNIOR ,IEM,Coordenador,Prorrogado de ofício pela FAPEMIG até 06/2025
PVDI119-2018 ,Umbílicos em Superfícies Convexas e Injetividade Global ,18/12/2018,17/3/2025,Vigente,FAPEMIG,"R$ 43.614,90 ",Luis Fernando de Osório Mello,IMC,Coordenador,600 FAPEPE
PIA5-2017 ,Computação Científica para obtenção de parametros fundamentais de aglomerados abertos ,1/11/2017,23/5/2023,Expirado,FAPEMIG,"R$ 46.200,00 ",Hektor Sthenos Alves Monteiro,IFQ,Coordenador,Arquivado - Relatório final entregue
PIDI68-2017 ,Desenvolvimento e integração entre os processos síntese de metanol e MTO (methanol-to-olefins) em microescala usando fluidodinâmica computacional ,1/11/2017,15/5/2025,Vigente,FAPEMIG,"R$ 33.445,45 ",Maximilian Joachim Hodapp,IRN,Coordenador,726 FAPEPE – Prorrogado até 15/05/2025 de acordo com Termo Aditivo enviado
PIDI112-2020,Monitoramento espectral para estimativa das condições hídricas de áreas cafeeiras ,1/2/2020,31/1/2024,Vigente,EMBRAPA,"R$ 3.120.274,85",VANESSA CRISTINA OLIVEIRA DE SOUZA ,IMC,Coordenador Local,
PVDI127-2017 ,Fluidos magnetoreológicos dilatantes ,1/11/2017,20/5/2024,Vigente,FAPEMIG,"R$ 26.553,89",Antonio José Faria Bombard,IFQ,Coordenador,Prorrogado até 20/05/2024 conforme carta aditiva
PVDI129-2021,"Estudo experimental da tecnologia dual-fuel em motores de ignição por compressão utilizando diesel renovável (HVO/Farnesano) com etanol, hidrogênio ou biogás",20/1/2021,20/1/2023,Expirado, FUNDEP,"R$ 757.171,80",CHRISTIAN JEREMI CORONADO RODRIGUEZ,IEM,Coordenador,Arquivado - Relatório final entregue
PVDI128-2021,"Teoria Qualitativa das Equações Diferenciais, Mecânica Celeste e Conjectura Jacobiana",1/3/2021,28/2/2025,Vigente,CNPq,"R$ 105.600,00",Luis Fernando de Osório Mello,IMC,Coordenador,
PVDI130-2021,Análise Numérica e Experimental em Transferência de Calor e Aplicações em Problemas Inversos,1/3/2021,29/2/2024,Vigente,CNPq,"R$ 39.600,00",Sandro Metrevelle Marcondes de Lima e Silva,IEM,Coordenador,
PVDI149-2021,Visão Integrada de Redes Elétricas Inteligentes e Controle de Fotovoltaicas,26/3/2021,26/3/2023,Expirado,FAPEMIG,"R$ 50.400,00",PAULO FERNANDO RIBEIRO,ISEE,Coordenador,
PVDI194-2021,Otimização via Simulação por Metamodelagem: uma Nova Abordagem Utilizando Machine Learning,1/3/2021,1/3/2024,Vigente,CNPq,"R$ 39.600,00",Rafael de Carvalho Miranda,IEPG,Coordenador,
PVDI196-2021,Metodologia de Projeto do Lean Office para Instituição de Ensino Superior Federal,20/5/2021,19/5/2023,Expirado,FAPEMIG,"R$ 24.000,00",Carlos Eduardo Sanches da Silva,IEPG,Coordenador,
PVDI181-2021,Ciclos Limites em Sistemas Suaves por Partes,1/8/2021,31/7/2023,Expirado,,,DENIS DE CARVALHO BRAGA,IMC,Coordenador,
PIDI163-2021,"Desenvolvendo o raciocínio matemático, a comunicação e a conexão de conteúdos, através da Resolução de Problemas e Tarefas de Exploração",1/8/2021,31/7/2023,Expirado,,,Flávia Sueli Fabiani Marcatto,IMC,Coordenador,
PVDI187-2021,Combinação de modelos de aprendizado de máquina no estudo de dados da COVID-19.,1/8/2021,31/7/2023,Expirado,,,ISABELA NEVES DRUMMOND,IMC,Coordenador,
PIDI137-2021,Estudo da integral de Itô e sistemas dinâmicos aleatórios,1/8/2021,31/7/2023,Expirado,,,JACSON SIMSEN,IMC,Coordenador,
PVDI145-2021,Espaços-tempos com Simetria Espacial Intrínseca II,1/8/2021,31/7/2024,Vigente,,,Leandro Gustavo Gomes,IMC,Coordenador,Prorrogado até 07/2024
PIDI143-2021,Trade-offs entre Decisões Arquiteturais para Sistemas-de-Sistemas: Evidências Empíricas,1/8/2021,31/7/2023,Expirado,,,LINA MARIA GARCES RODRIGUEZ,IMC,Coordenador,
PVDI180-2021,Configurações Centrais do Problema de N Corpos Simétricas por Reflexão,1/8/2021,31/7/2024,Vigente,,,LUCAS RUIZ DOS SANTOS,IMC,Coordenador,Prorrogado até 31/07/2024
PIDI152-2021,FUNÇÕES CONVEXAS E APLICAÇÕES,1/8/2021,31/7/2023,Expirado,,,MARCIA SAYURI KASHIMOTO,IMC,Coordenador,
PIDI140-2021,Inclusões Diferenciais Envolvendo o Operador p(x)-Laplaciano,1/8/2021,31/7/2023,Expirado,,,Mariza Stefanello Simsen,IMC,Coordenador,
PIDI150-2021,Invariantes Topológicos da Ferradura Rotacional,1/8/2021,31/7/2023,Expirado,,,Bráulio Augusto Garcia,IMC,Coordenador,
PVDI154-2021,Simulação Numérico-Computacional da Dissipação de Esteiras de Aeronaves Próximas do Solo Utilizando o Método de Vórtices Discretos com Modelagem de Rugosidade Superficial,1/8/2021,31/7/2023,Expirado,,,Luiz Antonio Alcântara Pereira,IEM,Coordenador,Arquivado - relatorio final entregue 
PIDI191-2021,USO DE GÁS NATURAL NA GERAÇÃO DE ENERGIA ELÉTRICA E SUA IMPORTÂNCIA NA SEGURANÇA E NA TRANSIÇÃO ENERGÉTICA,1/8/2021,31/7/2023,Expirado,,,Rogério José da Silva,IEM,Coordenador,
PIDI139-2021,Inteligência Artificial Aplicada ao Processamento de Sinais Cardíacos,1/8/2021,31/7/2023,Expirado,,,João Paulo Reus Rodrigues Leite,IESTI,Coordenador,
PVDI179-2021,ESTUDO DE MÉTODOS DE EXTRAÇÃO/RECUPERAÇÃO DE ENERGIA DE SISTEMA FOTOVOLTAICO SOMBREADO OU EM DESEQUILÍBRIO,1/8/2021,31/7/2024,Vigente,,,ENIO ROBERTO RIBEIRO,IESTI,Coordenador,Prorrogado até 31/07/2024
PVDI144-2021,"Modelagem do comportamento de motoristas, por meio de dados gerados por telemetria.",1/8/2021,31/7/2023,Expirado,,,BRUNO TARDIOLE KUEHNE,IESTI,Coordenador,
PVDI186-2021,Desenvolvimento de Carregador Rápido para Veículos Elétricos,1/8/2021,31/7/2023,Expirado,,,ROBSON BAUWELZ GONZATTI,IESTI,Coordenador,
PVDI165-2021,Ferramentas de aprendizado de máquina em gravitação,1/8/2021,31/7/2023,Expirado,,,ALAN BENDASOLI PAVAN,IFQ,Coordenador,
PVDI155-2021,Fabricação e caracterização elétrica e óptica de heteroestruturas baseadas e silício poroso visando aplicações como sensores e fotocélulas,1/8/2021,31/7/2023,Expirado,,,Danilo Roque Huanca,IFQ,Coordenador,
PVDI142-2021,Modelos análogos para ondas gravitacionais em materiais não-lineares,1/8/2021,31/7/2023,Expirado,,,Eduardo Henrique Silva Bittencourt ,IFQ,Coordenador,
PIDI147-2021,Produção de estudos de caso em História da Ciência para o Ensino de Química,1/8/2021,31/7/2024,Vigente,,,EVANDRO FORTES ROZENTALSKI,IFQ,Coordenador,Prorrogado até 07/2024
PVDI185-2021,UTILIZAÇÃO DE AGENTES COMPLEXANTES PARA EXTRAÇÃO DE METAIS EM ÓLEO ISOLANTE,1/8/2021,31/7/2023,Expirado,,,FLÁVIO SOARES SILVA,IFQ,Coordenador,
PVDI184-2021,Análise das sequências didáticas produzidas no âmbito do projeto de extensão Tecnologias Emergentes.,1/8/2021,31/7/2023,Expirado,,,JULIANA MARIA SAMPAIO FURLANI,IFQ,Coordenador,
PIDI189-2021,ESTUDO DA TERMINOLOGIA DO DISCURSO DA INOVAÇÃO TECNOLÓGICA,1/8/2021,31/7/2023,Expirado,,,Márcia de Souza de Luz Freitas ,IFQ,Coordenador,
PVDI197-2021,Projeções das principais variáveis atmosféricas na caracterização dos expossomas brasileiros: o câncer de pele além da radiação ultravioleta,1/4/2021,31/3/2024,Vigente,CNPq,"R$ 39.600,00",Marcelo de Paula Corrêa,IRN,Coordenador,
PVDI166-2021,Utilização da Data Science em problemas de Engenharia de Produção,1/8/2021,31/7/2023,Expirado,,,ALEXANDRE FERREIRA DE PINHO,IEPG,Coordenador,
PVDI161-2021,"EDUCAÇÃO FINANCEIRA EM UM INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA: CONHECIMENTO FINANCEIRO E SUA CORRELAÇÃO COM OS CINCO GRANDES FATORES DE PERSONALIDADE DA COMUNIDADE ACADÊMICA",1/8/2021,31/7/2023,Expirado,,,André Luiz Medeiros,IEPG,Coordenador,
PIDI160-2021,Edital DIP 001/2021 - Seleção de Projeto de Pesquisa Científica sem Financiamento Externo para Registro,1/8/2021,31/7/2023,Expirado,,,FABIO FAVARETTO,IEPG,Coordenador,
PVDI136-2021,Desempenho sustentável da cadeia de suprimentos “fashion circular”: Um estudo multi-metodológico,1/8/2021,31/7/2023,Expirado,,,JENIFFER DE NADAE,IEPG,Coordenador,
PVDI157-2021,"Utilização da simulação computacional no planejamento e implantação dos conceitos e ferramentas enxutas em ambientes manufatureiros, administrativos e hospitalares",1/8/2021,31/7/2023,Expirado,,,JOSE ANTONIO DE QUEIROZ,IEPG,Coordenador,
PIDI164-2021,Análise do Canteiro de Obras como um Sistema de Produção Dinâmico Não-Linear,1/8/2021,31/7/2023,Expirado,,,ANDRE LUIZ VIVAN,IRN,Coordenador,
PVDI148-2021,TELHADOS VERDES NOS TRÓPICOS,1/8/2021,31/7/2023,Expirado,,,HERLANE COSTA CALHEIROS,IRN,Coordenador,
PVDI173-2021,Análise da eficiência da valorização de biomassa de resíduos agroindustriais para bioenergia utilizando secador de leito fluidizado,1/8/2021,31/7/2024,Vigente,,,HUGO PERAZZINI,IRN,Coordenador,Prorrogado até 31/07/2024
PVDI174-2021,UTILIZAÇÃO DE ENERGIA SOLAR PARA O TRATAMENTO E APROVEITAMENTO DE RESÍDUOS AGROINDUSTRIAIS COMO BIOMASSA PARA BIONERGIA,1/8/2021,31/7/2024,Vigente,,,Maisa Tonon Bitti Perazzini,IRN,Coordenador,Prorrogado até 31/07/2024
PVDI192-2021,"Inventário de feições erosivas e monitoramento de sua evolução em imagens de satélite CBERS 4A, LANDSAT 8 e Sentinel-2.",1/8/2021,31/7/2023,Expirado,,,Nívea Adriana Dias Pons,IRN,Coordenador,
PVDI151-2021,Estudo da arquitetura radicular de braquiária (Urochloa spp.) submetida à inoculação com rizobactérias promotoras de crescimento,1/8/2021,31/7/2023,Expirado,,,ROGERIO MELLONI,IRN,Coordenador,
PIDI188-2021,Estudo da abordagem multiescala para o mapeamento de mudanças no uso e cobertura do solo e associações com o depleciamento de recursos naturais,1/8/2021,31/7/2024,Vigente,,,Samara Calçado de Azevedo,IRN,Coordenador,Prorrogado até 07/2024
PIDI135-2021,Estudo de compósitos cimentícios autoadensáveis produzidos com materiais alternativos,1/8/2021,31/7/2024,Vigente,,,Valquíria Claret dos Santos,IRN,Coordenador,Prorrogado até 07/2024
PVDI177-2021,Aplicação de Técnicas Meta-heurísticas para a Alocação Ótima de Equipamentos FACTS em Sistemas Elétricos de Potência,1/8/2021,31/7/2024,Vigente,,,CAMILA PAES SALOMON,ISEE,Coordenador,Prorrogado até 07/2024
PIDI158-2021,Desenvolvimento e validação de algoritmos básicos de Proteção de Sistemas Elétricos de Potência no RTDS para implementação em Sistemas Centralizados de Proteção e Controle de uma Subestação 4.0,1/8/2021,31/7/2023,Expirado,,,CARLOS ALBERTO VILLEGAS GUERRERO,ISEE,Coordenador,
PVDI178-2021,Análise de impactos da inserção de recursos distribuídos no sistema elétrico,1/8/2021,31/7/2023,Expirado,,,Cláudia Eliane da Matta,ISEE,Coordenador,
PVDI168-2021,AVALIAÇÃO DA ISOLAÇÃO DE TRANSFORMADORES ATRAVÉS MEDIÇÃO DE DESCARGAS PARCIAIS E TANGENTE DE DELTA,1/8/2021,31/7/2023,Expirado,,,GUSTAVO PAIVA LOPES,ISEE,Coordenador,
PVDI138-2021,A SUSTENTABILIDADE NA UNIVERSIDADE FEDERAL DE ITAJUBÁ: O QUE TEM SIDO FEITO E O QUE SE PODE FAZER?,1/8/2021,31/7/2023,Expirado,,,MARIA RITA RAIMUNDO E ALMEIDA,IRN,Coordenador,
PVDI170-2021,Modelagem e simulação por fluidodinâmica computacional da transformação de metanol para olefinas em microreatores bifásicos contínuos com desativação do catalisador.,1/8/2021,31/7/2023,Expirado,,,MAXIMILIAN JOACHIM HODAPP,IRN,Coordenador,
