Código,Data Início,Data Fim,TÍTULO DO PROJETO,Tipo,Órgão financiador, Coordenador/Coordenador Local,UA Coordenador,Situação
PVDI502-2024,01/01/2024,01/01/2027,Lipossomas com compostos eugenólicos-terpênicos como potencial sistema com atividade antimicrobiana e antibiofilme,Projeto com financiamento externo,FAPEMIG,DANIELA SACHS,IFQ,Vigente
PVDI492-2024,01/03/2024,28/02/2029,Redes Inteligentes: Efeitos na estabilidade sistêmica e papel na construção de cidades inteligentes,Projeto com financiamento externo,CNPq,ANTONIO CARLOS ZAMBRONI DE SOUZA,ISEE,Vigente
PVDI485-2024,01/06/2024,31/05/2027,A Gestão Baseada em Atividades em Instituições Federais de Ensino Superior (IFES): fator relevante para definição dos processos críticos e suas atividades,Projeto sem financiamento externo,Não possui,ELIZABETE RIBEIRO SANCHES DA SILVA,IEPG,Vigente
PIDI527-2023,18/08/2023,18/12/2026,Quantificando letalidade e comportamento de peixes expostos a supersaturação gasosa em rios sob influência de usinas hidrelétricas,Projeto com financiamento externo,Companhia Energética SINOP,CARLOS BARREIRA MARTINEZ,IEM,Vigente
PVDI525-2024,01/03/2024,31/07/2027,Método para Seleção de Variáveis Críticas no Monitoramento de Gêmeos Digitais usando Lean Six Sigma,Projeto com financiamento externo,CNPq,RAFAEL DE CARVALHO MIRANDA,IEPG,Vigente
PVDI477-2024,01/06/2024,31/05/2027,CATÁLOGO DE AGLOMERADOS ABERTOS NA ERA GAIA,Projeto sem financiamento externo,Não possui,WILTON DA SILVA DIAS,IFQ,Vigente
PVDI474-2024,01/06/2024,31/05/2027,"EXPLORANDO ASPECTOS DE INTEGRABILIDADE, DUALIDADES, E DEFORMACÕES EM TEORIAS DE CAMPOS",Projeto sem financiamento externo,Não possui,ALEXIS ROA AGUIRRE,IFQ,Vigente
PIDI469-2024,01/06/2024,31/05/2027,Estruturas de índices para armazenamento massivo de grandes volumes de dados,Projeto sem financiamento externo,Não possui,LUIZ OLMES CARVALHO,IMC,Vigente
PVDI481-2024,01/06/2024,31/05/2027,Análise do Impacto do Aumento da Inserção de Fontes Renováveis Intermitentes no Planejamento da Operação do Sistema Elétrico Brasileiro,Projeto sem financiamento externo,Não possui,FABRICIO SILVEIRA CHAVES,ISEE,Vigente
PVDI528-2020,01/03/2024,28/02/2027,Avaliação de Risco e Viabilidade Econômica em projetos de geração de energia renovável e de fontes híbridas no Brasil,Projeto com financiamento externo,CNPq,EDSON DE OLIVEIRA PAMPLONA,IEPG,Vigente
PVDI529-2024,17/06/2024,17/06/2027,DESENVOLVIMENTO DE ESTRUTURAS INTELIGENTES POR MEIO DE MANUFATURA ADITIVA E IMPRESSÃO 4D,Projeto com financiamento externo,FAPEMIG,GUILHERME FERREIRA GOMES,IEM,Vigente
PDIP01-2023,10/01/2023,10/01/2026,"Uai, me conta!",Projeto com financiamento externo,FAPEMIG,JANE RAQUEL SILVA DE OLIVEIRA,IFQ,Expirado
PVDI531-2023,24/01/2023,31/01/2027,Estudos de atribuição das mudanças climáticas e geração de cenários e de indicadores de impacto em suporte à planejamentos de medidas de adaptação regional e local,Projeto com financiamento externo,CNPq,BENEDITO CLAUDIO DA SILVA,IRN,Vigente
PVDI532-2024,13/05/2024,14/06/2027,"Ciência, mídias e informação na escola: integrando vozes e promovendo protagonismos responsáveis",Projeto com financiamento externo,FAPEMIG,ALESSANDRA RODRIGUES,IFQ,Vigente
PVDI533-2024,01/03/2024,29/02/2028,"BIOCOMBUSTÍVEIS A PARTIR DE RESÍDUOS: COMBUSTÃO, ENERGIA E HIDROGÊNIO VERDE",Projeto com financiamento externo,CNPq,CHRISTIAN JEREMI CORONADO RODRIGUEZ,IEM,Vigente
PIDI482-2024,01/06/2024,31/05/2027,"Desempenho ambiental da Produção, Armazenamento, Transporte e Uso de Hidrogênio (PATU-H2) como fonte de energia",Projeto sem financiamento externo,Não possui,RAFAEL SILVA CAPAZ,IRN,Vigente
PIDI483-2024,01/06/2024,31/05/2027,MODELAGEM E SIMULAÇÃO DO PROCESSO DE RECICLAGEM DE PILHAS E BATERIAS,Projeto sem financiamento externo,Não possui,LETICIA FABRI TURETTA,IRN,Vigente
PVDI536-2024,01/01/2024,31/12/2027,Formação de Engenheiros Preparados para um Futuro com Hidrogênio Verde,Projeto com financiamento externo,CAPES,SEBASTIAO SIMOES DA CUNHA JUNIOR,IEM,Vigente
PIDI510-2024,01/08/2024,31/07/2027,ANÁLISE E OTIMIZAÇÃO DE MÚLTIPLAS CARACTERÍSTICAS PARA SISTEMAS AVANÇADOS EM SOLDAGEM DE REVESTIMENTO DE CHAPAS DE AÇO UTILIZANDO SISTEMAS DE SINAIS,Projeto sem financiamento externo,Não possui,PAULO HENRIQUE DA SILVA CAMPOS,IEPG,Vigente
PVDI501-2024,01/08/2024,31/07/2027,Segurança cibernética: IA e Computação quântica,Projeto sem financiamento externo,Não possui,OTÁVIO DE SOUZA MARTINS GOMES,IESTI,Vigente
PVDI506-2024,01/08/2024,31/07/2027,Estudo e desenvolvimento de redes neurais otimizadas para detecção de batimentos ventriculares prematuros (PVC).,Projeto sem financiamento externo,Não possui,ODILON DE OLIVEIRA DUTRA,IESTI,Vigente
PVDI518-2024,01/08/2024,31/07/2027,Desenvolvimento de um sistema de controle e monitoramento remoto para conversores eletrônicos de potência,Projeto sem financiamento externo,Não possui,ROBSON BAUWELZ GONZATTI,IESTI,Vigente
PIDI546-2024,01/07/2024,30/06/2027,Fabricação e caracterização óptica e elétrica de micro e nanotubos de silício baseados em silício poroso,Projeto com financiamento externo,FAPEMIG,DANILO ROQUE HUANCA,IFQ,Vigente
PIDI545-2024,23/07/2024,22/07/2027,Implantes MAGXILO - Desenvolvimento de ligas e implantes bioabsorvíveis à base de magnésio para aplicações maxilofaciais,Projeto com financiamento externo,FAPEMIG,BRUNO XAVIER DE FREITAS,IEM,Vigente
PVDI543-2023,11/12/2023,31/12/2026,Metamateriais Elastodinâmicos Projetados para a Atenuação de Vibrações em Estruturas Civis Formadas por Elementos de Barra Usando o Método dos Elementos Finitos Posicional e Métodos de Otimização Multiobjetivo,Projeto com financiamento externo,CNPq,CAROLINA QUINTERO RAMIREZ,IRN,Vigente
PVDI547-2024,01/01/2024,31/12/2026,Aprendizagem profissional de formadores e de futuros professores de matemática: constituindo comunidades de prática e de investigação.,Projeto com financiamento externo,CNPq,FLAVIA SUELI FABIANI MARCATTO,IMC,Vigente
PIDI496-2024,01/08/2024,31/07/2027,Aprendizagem profissional de formadores e de futuros professores de matemática: constituindo comunidades de prática e de investigação.,Projeto com financiamento externo,CNPq,IVAN FELIPE SILVA DOS SANTOS,IRN,Vigente
PVDI497-2024,01/08/2024,31/07/2027,Modelagem e simulação computacional em sistemas de distribuição de água utilizando ferramentas visando melhoria da eficiência dos sistemas e conservação de água,Projeto sem financiamento externo,Não possui,FERNANDO DAS GRACAS BRAGA DA SILVA,IRN,Vigente
PVDI500-2024,01/08/2024,31/07/2027,"TEMAS SOCIOAMBIENTAIS, EDUCAÇÃO EM CIÊNCIAS E A FORMAÇÃO DO PROFISSIONAL DOCENTE: POSSÍVEIS RELAÇÕES NAS NOVAS DIRETRIZES E NA CURRICULARIZAÇÃO DA EXTENSÃO",Projeto sem financiamento externo,Não possui,JANAINA ROBERTA DOS SANTOS,IRN,Vigente
PIDI522-2024,01/08/2024,31/07/2027,Avaliação do desempenho de estações de tratamento de efluentes industriais e sanitários em Minas Gerais,Projeto sem financiamento externo,Não possui,ANDRE AGUIAR MENDES,IRN,Vigente
PVDI512-2024,01/08/2024,31/07/2027,Estudo de compósitos cimentícios autoadensáveis produzidos com materiais alternativos,Projeto sem financiamento externo,Não possui,VALQUIRIA CLARET DOS SANTOS,IRN,Vigente
PIDI487-2024,01/08/2024,31/07/2027,MATERIAIS LAMELARES A BASE DE ÓXIDO DE NIÓBIO (Nb2O5) INTERCALADOS COM POLÍMEROS CONDUTORES PARA A CONSTRUÇÃO DE SENSORES QUÍMICOS,Projeto sem financiamento externo,Não possui,FABIO DA SILVA LISBOA,IFQ,Vigente
PVDI486-2024,01/08/2024,31/07/2027,"Síntese e Caracterização de Novos Metalofármacos de Pd(II), Pt(II), Pt(IV) e In(III) derivados de ligantes sulfonilditiocarbimatos",Projeto sem financiamento externo,Não possui,EDER DO COUTO TAVARES,IFQ,Vigente
PVDI494-2024,01/08/2024,31/07/2027,Síntese Verde de Nanopartículas de dióxido de titânio para Fotocatálise Ambiental e Energética,Projeto sem financiamento externo,Não possui,ADHIMAR FLAVIO OLIVEIRA,IFQ,Vigente
PVDI499-2024,01/08/2024,31/07/2027,Caracterização dos conhecimentos de professores e futuros professores em processos formativos: uma análise a partir da Base de Conhecimentos para o Ensino,Projeto sem financiamento externo,Não possui,JOAO RICARDO NEVES DA SILVA,IFQ,Vigente
PVDI509-2024,01/08/2024,31/07/2027,Nos caminhos do discurso: sentidos da relação ser humano-natureza em trilhas ao ar livre,Projeto sem financiamento externo,Não possui,PAULO CEZAR NUNES JUNIOR,IFQ,Vigente
PVDI513-2024,01/08/2024,31/07/2027,O hidrogênio como combustível do futuro!,Projeto sem financiamento externo,Não possui,LUCILENE DE OLIVEIRA RODRIGUES CHAVES,IEM,Vigente
PVDI514-2024,01/08/2024,31/07/2027,A formação de sujeitos em Educação Ambiental: o discurso de professores em serviço e de licenciandos da área de Educação em Ciências.,Projeto sem financiamento externo,Não possui,WANDERSON RODRIGUES MORAIS,IFQ,Vigente
PVDI515-2024,01/08/2024,31/07/2027,A História da Ciência no Programa Nacional do Livro Didático: efeitos da Base Nacional Comum Curricular nos materiais didáticos do Ensino Médio,Projeto sem financiamento externo,Não possui,EVANDRO FORTES ROZENTALSKI,IFQ,Vigente
PVDI517-2024,01/08/2024,31/07/2027,Efeito da atmosfera de sinterização nas propriedades termoelétricas de cerâmicas a base de cobaltita e de manganita de cálcio na otimização da eficiência de módulos térmicos.,Projeto sem financiamento externo,Não possui,DANIEL THOMAZINI,IEM,Vigente
PVDI521-2024,01/08/2024,31/07/2027,Estruturas baseadas em materiais avançados para desenvolvimentos de novos dispositivos e aplicações,Projeto sem financiamento externo,Não possui,MARCELOS LIMA PERES,IFQ,Vigente
PVDI523-2024,01/08/2024,31/07/2027,Avaliação da aplicabilidade da técnica de composite braiding para desenvolvimento de vasos de pressão em compósito com matriz epóxi utilizando modelos numéricos e validação experimental,Projeto sem financiamento externo,Não possui,BRUNO SILVA DE SOUSA,IEM,Vigente
PVDI524-2024,01/08/2024,31/07/2027,"Entre trilhas, normas e documentos: um estudo terminológico para subsidir o projeto TrilhaZ",Projeto sem financiamento externo,Não possui,MARCIA DE SOUZA LUZ FREITAS,IFQ,Vigente
PVDI511-2024,01/08/2024,31/07/2027,SISTEMA INTELIGENTE PARA DETECÇÃO E IDENTIFICAÇÃO DE OBJETOS NO SOLO E PREVISÃO DE DESASTRES,Projeto sem financiamento externo,Não possui,ALEXANDRE CARLOS BRANDAO RAMOS,IMC,Vigente
PVDI507-2024,01/08/2024,31/07/2027,Desenvolvimento de veículos aéreos não tripulados autônomos para o setor agropecuário,Projeto sem financiamento externo,Não possui,BRUNO GUAZZELLI BATISTA,IMC,Vigente
PVDI505-2024,01/08/2024,31/07/2027,Retratos de Fase de Campos de Corrente,Projeto sem financiamento externo,Não possui,DENIS DE CARVALHO BRAGA,IMC,Vigente
PVDI504-2024,01/08/2024,31/07/2027,Tópicos Matemáticos em Cosmologia e Relatividade Geral,Projeto sem financiamento externo,Não possui,LEANDRO GUSTAVO GOMES	,IMC,Vigente
PVDI520-2024,01/08/2024,31/07/2027,Ciclos limites em sistemas Hamiltonianos quadráticos suaves por partes,Projeto sem financiamento externo,Não possui,ALEXANDER FERNANDES DA FONSECA,IMC,Vigente
PVDI550-2024,01/09/2024,15/01/2027,Desenvolvimento e avaliação de um sistema de estimativa de biomassa ?orestal com o uso de sensores de baixo custo,Projeto com financiamento externo,FAPEMIG,ALEXANDRE CARLOS BRANDAO RAMOS        ,IMC,Vigente
PVDI560-2024,04/12/2023,31/12/2026,Análise de eficiência da valorização de resíduos de açaí para energia renovável utilizando secador rotativo,Projeto com financiamento externo,CNPq,HUGO PERAZZINI        ,IRN,Vigente
PVDI562-2024,05/11/2024,05/11/2028,"Impactos do aquecimento global de 1,5ºC, 2ºC e 3ºC na produtividade do café arábica no estado de Minas Gerais",Projeto com financiamento externo,FAPEMIG,FABRINA BOLZAN MARTINS,IRN,Vigente
PVDI564-2024,05/01/2024,31/12/2026,CONSUMO E ECONOMIA CIRCULAR: BARREIRAS E DRIVERS PARA O REUSO E LOGÍSTICA REVERSA DE PRODUTOS NAS PERSPECTIVAS BRASILEIRA E DINAMARQUESA,Projeto com financiamento externo,CNPq,RENATO DA SILVA LIMA,IEPG,Vigente
PVDI565-2024,07/11/2024,06/12/2027,Análise Experimental e Numérica em Transferência de Calor com Ênfase no Uso de Problemas Inversos,Projeto com financiamento externo,FAPEMIG,SANDRO METREVELLE MARCONDES DE LIMA E SILVA,IEM,Vigente
PIDI554-2024,01/11/2024,31/10/2027,O SITE LIBREX UTILIZADO NA MEDIAÇÃO DO ENSINO DA LIBRAS NA EDUCAÇÃO SUPERIOR,Projeto sem financiamento externo,Não possui,ANA CAROLINA SALES OLIVEIRA,IFQ,Vigente
PVDI558-2024,01/11/2024,31/10/2027,ESPALHAMENTO DE LUZ VISÍVEL NA ALTA ATMOSFERA DE EXOPLANETAS GIGANTES GASOSOS,Projeto sem financiamento externo,Não possui,GABRIEL RODRIGUES HICKEL,IFQ,Vigente
PVDI534-2024,01/11/2024,31/10/2027,Análise de Viabilidade de Produtos de eHealth por meio de Infraestruturas Computacionais Distribuídas e Inteligentes,Projeto sem financiamento externo,Não possui,EDVARD MARTINS DE OLIVEIRA,IESTI,Vigente
PVDI551-2024,01/11/2024,31/10/2027,Estudo das variáveis da etapa de recozimento no processo de galvanização de chapas de aço ferrítico-perlítico,Projeto sem financiamento externo,Não possui,GEOVANI RODRIGUES,IEM,Vigente
PVDI542-2024,01/11/2024,31/10/2027,Modelagem e Simulação de Vôo de aeronaves tipo Tilt-Rotors.,Projeto sem financiamento externo,Não possui,MARCELO SANTIAGO DE SOUSA,IEM,Vigente
PVDI555-2024,01/11/2024,31/10/2027,Controle de Posicionamento e Rastreamento de Trajetória em Nano Drones,Projeto sem financiamento externo,Não possui,YOHAN ALI DIAZ MENDEZ,IEM,Vigente
PIDI549-2024,01/11/2024,31/10/2027,Análise e otimização de projeto de vias rodoviárias: pavimentação e geometria viária como fatores críticos de desempenho,Projeto sem financiamento externo,Não possui,MARIA RACHEL DE ARAUJO RUSSO,IRN,Vigente
PVDI552-2024,01/11/2024,31/10/2027,Estudo do desempenho mecânico e estrutural dos materiais cimentícios autoadensáveis e avanços inovadores em acústica e vibro acústica,Projeto sem financiamento externo,Não possui,PAULO CESAR GONCALVES,IRN,Vigente
PVDI566-2024,08/08/2024,08/04/2026,Desenvolvimento e Simulação de Módulo de Gerenciamento Energético para Sistema de Produção de H2 com Compensação Harmônica e Reativa,Projeto com financiamento externo,"Projetos de P&D registrados na PROEX - PS SOLUÇÕES INDÚSTRIA, COMÉRCIO, REPRESENTAÇÕES E CONSULTORIA LTDA",RONDINELI RODRIGUES PEREIRA,IESTI,Vigente
PVDI567-2024,24/10/2024,24/10/2027,ESTABILIDADE ASSINTÓTICA GLOBAL E O 16° PROBLEMA DE HILBERT,Projeto com financiamento externo,FAPEMIG,FABIO SCALCO DIAS,IMC,Vigente
PVDI577-2024,12/12/2024,11/12/2028,Monitoramento e caracterização ambiental da Indicação Geográfica Campo das Vertentes: Geotecnologias e descoberta do conhecimento para sustentabilidade da cafeicultura,Projeto com financiamento externo,FAPEMIG,VANESSA CRISTINA OLIVEIRA DE SOUZA,IMC,Vigente
PVDI578-2024,20/08/2024,19/08/2027,"Modelagem de dados espectrais para estimativa das condições hídricas de cafeeiros por meio de inteligência artificial
",Projeto com financiamento externo,FAPEMIG,VANESSA CRISTINA OLIVEIRA DE SOUZA,IMC,Vigente
PVDI571-2025,02/01/2025,01/01/2028,Aliança Professor-Pesquisador para a Investigação da Aprendizagem em Matemática - APPIAM,Projeto com financiamento externo,FAPEMIG,FLAVIA SUELI FABIANI MARCATTO,IMC,Vigente
PVDI606-2025,16/04/2025,01/01/2028,Céu de Brigadeiro: Uma Abordagem para Integração e Análise de Dados Meteorológicos para a Aviação,Projeto com financiamento externo,FAPEMIG,VANESSA CRISTINA OLIVEIRA DE SOUZA,IMC,Vigente
PVDI611-2024,01/03/2024,28/02/2027,Cerâmicas termoelétricas aplicadas na conversão de calor residual em energia elétrica,Projeto com financiamento externo,CNPq,MARIA VIRGINIA GELFUSO,IEM,Vigente
PVDI630-2024,04/12/2024,04/12/2026,ESTUDO DE EXTRUSÃO POR FLUÊNCIA E VEDAÇÕES EM DUTOS FLEXÍVEIS OPERANDO ACIMA DA TEMPERATURA DE PROJETO,Projeto com financiamento externo,Projetos de P&D registrados na PROEX ,GUILHERME FERREIRA GOMES,IEM,Vigente
PIDI585-2025,01/06/2025,31/05/2028,Hiperbolicidade de transformações quadráticas semi-orientáveis,Projeto sem financiamento externo,Não possui,JUAN VALENTIN MENDOZA MOGOLLON,IMC,Vigente
PIDI631-2024,08/08/2024,07/08/2027,Front-end optoeletrônico para redes de telecomunicações atuais e futuras,Projeto com financiamento externo,FAPEMIG,RAMON MAIA BORGES,IESTI,Vigente
PVDI632-2025,01/08/2025,31/07/2029,DESCARBONIZAÇÃO INDUSTRIAL: AVALIAÇÃO DE ROTAS AVANÇADAS E INTEGRAÇÃO À PRODUÇÃO DE BIOCOMBUSTÍVEIS,Projeto com financiamento externo,CNPq,OSVALDO JOSE VENTURINI,IEM,Vigente
PVDI633-2025,01/08/2025,03/07/2028,INFLUÊNCIAS DE PROCESSOS DE MESOESCALA NA CAMADA LIMITE PLANETÁRIA EM REGIÕES DE TRANSIÇÃO TERRA-ÁGUA: IMPLICAÇÕES PARA O APROVEITAMENTO EÓLICO E SOLAR,Projeto com financiamento externo,CNPq,ARCILAN TREVENZOLI ASSIREU,IRN,Vigente
PVDI598-2025,01/06/2025,31/05/2028,"Desenvolvimento, Execução e Análise de Desempenho de Edificações Sustentáveis construídas com Terra",Projeto sem financiamento externo,Não possui,CAROLINA QUINTERO RAMIREZ,IRN,Vigente
PIDI600-2025,01/06/2025,31/05/2028,"Morfologia e biologia de imaturos de Coleoptera, com ênfase nas espécies bioluminescentes.",Projeto sem financiamento externo,Não possui,SIMONE POLICENA ROSA,IRN,Vigente
PVDI634-2024,01/01/2024,31/12/2027,"PRODUÇÃO, CIRCULAÇÃO E APROPRIAÇÃO DA MATEMÁTICA E SUA HISTÓRIA PARA O ENSINO E FORMAÇÃO PROFESSORES",Projeto com financiamento externo,CAPES,MARIANA FEITEIRO CAVALARI SILVA,IMC,Vigente
PVDI635-2025,01/08/2025,31/07/2029,OTIMIZAÇÃO DA TAXA DE PRODUÇÃO DE HIDROGÊNIO VIA HIDRÓLISE DE LIGAS DE ALUMÍNIO,Projeto com financiamento externo,CNPq,MIRIAN DE LOURDES NORONHA MOTTA MELO,IEM,Vigente
PIDI636-2025,01/08/2025,31/07/2028,Química de redução de Cu(II) e Pt(IV) e seus complexos de interesse da bioinorgânica,Projeto com financiamento externo,CNPq,JULIANA FEDOCE LOPES	,IFQ,Vigente
PIDI637-2025,01/08/2025,31/07/2028,"Cromismo como Ferramenta para Materiais Avançados
",Projeto com financiamento externo,CNPq,FREDERICO BARROS DE SOUSA,IFQ,Vigente
PVDI588-2025,01/06/2025,31/05/2028,Ensino de Física na era das Inteligências Artificiais Generativa: limites e possibilidades,Projeto sem financiamento externo,Não possui,MIKAEL FRANK REZENDE JUNIOR,IFQ,Vigente
PIDI593-2025,01/06/2025,31/05/2028,"Avaliação de benzeno e benzo[a]pireno em água bruta (Rio Sapucaí)
",Projeto sem financiamento externo,Não possui,FLAVIO SOARES SILVA,IFQ,Vigente
PVDI638-2025,21/07/2025,31/07/2028,"Estudo da microestrutura, das propriedades mecânicas e da resistência a corrosão de juntas soldadas de aços inoxidáveis produzidos por manufatura aditiva",Projeto com financiamento externo,CNPq,EDMILSON OTONI CORREA,IEM,Vigente
PVDI639-2025,01/08/2025,31/07/2028,ANÁLISE COMPUTACIONAL DE CILINDROS DE ARMAZENAMENTO DE HIDROGÊNIO – COMBUSTÍVEL VERDE,Projeto com financiamento externo,CNPq,SEBASTIAO SIMOES DA CUNHA JUNIOR,IEM,Vigente
PVDI601-2025,01/06/2025,31/05/2028,"Em busca das Matrizes Perdidas: Comunicação, Midiatizações e Genealogia dos Conceitos",Projeto sem financiamento externo,Não possui,LAUREN FERREIRA COLVARA	,IEPG,Vigente
PVDI587-2025,01/06/2025,31/05/2028,Metodologias inversas aplicadas à caracterização higrotérmica de materiais de engenharia,Projeto sem financiamento externo,Não possui,NICOLAS PINHEIRO RAMOS,IEM,Vigente
PVDI596-2025,01/06/2025,31/05/2028,Inteligência Artificial para Problemas Complexos em Ciência e Sociedade,Projeto sem financiamento externo,Não possui,JESUS ANTONIO GARCIA SANCHEZ,IEM,Vigente
PVDI597-2025,01/06/2025,31/05/2028,Desenvolvimento e caracterização de nanocompósitos de óxido de grafeno com metais e óxidos de metais. Funcionalização de oxido de grafeno.,Projeto sem financiamento externo,Não possui,MARIA ELENA LEYVA GONZALEZ,IFQ,Vigente
PVDI623-2025,01/08/2025,31/07/2028,Estudo de Arquiteturas para Execução Automatizada e Orquestração de Fluxos de Dados sob a Perspectiva da Entrega Contínua de Dados e Informações,Projeto sem financiamento externo,Não possui,BARBARA PIMENTA CAETANO,IESTI,Vigente
PVDI627-2025,01/08/2025,31/07/2028,Aceleração da Consulta aos K Vizinhos Mais Próximos em Grandes Volumes de Dados usando Unidade de Processamento Gráfico,Projeto sem financiamento externo,Não possui,ENZO SERAPHIM,IESTI,Vigente
PIDI610-2025,01/08/2025,31/07/2028,Soluções Computacionais Inteligentes: Uma Abordagem Baseada em Aprendizagem de Máquina e Metaheurísticas para problemas gerais,Projeto sem financiamento externo,Não possui,JOAO LUIZ JUNHO PEREIRA,IEPG,Vigente
PVDI620-2025,01/08/2025,31/07/2028,Projeto e análise de um dispositivo para transmissão eficiente de energia sem fios de baixa potência e médio alcance,Projeto sem financiamento externo,Não possui,MATEUS AUGUSTO FAUSTINO CHAIB JUNQUEIRA,IESTI,Vigente
PIDI581-2025,01/06/2025,31/05/2028,"Projeto de Pesquisa: Ambiente Construído, Sustentabilidade e Mudanças Climáticas",Projeto sem financiamento externo,Não possui,DANIELE ORNAGHI SANT'ANNA,IRN,Vigente
PVDI640-2025,01/08/2025,31/07/2028,"Riscos climáticos e vulnerabilidades do Eucalipto e Pinus no Brasil considerando modelos climáticos de alta resolução do CMIP6
",Projeto com financiamento externo,CNPq,FABRINA BOLZAN MARTINS,IRN,Vigente
PVDI622-2025,01/08/2025,31/07/2028,Aplicação de Técnicas de Aprendizado de Máquina para a Previsão de Carga no Contexto de Redes Elétricas Inteligentes,Projeto sem financiamento externo,Não possui,CAMILA PAES SALOMON,ISEE,Vigente
PVDI641-2025,01/09/2025,01/09/2028,Desenvolvimento e Caracterização Avançada de Sensores Funcionais para Aplicações Tecnológicas e Ambientais,Projeto com financiamento externo,FAPEMIG,ADHIMAR FLAVIO OLIVEIRA,IFQ,Vigente
PVDI621-2025,01/08/2025,31/07/2028,Classificação topológica de funções Morse-Bott em variedades 3-dimensionais,Projeto sem financiamento externo,Não possui,INGRID SOFIA MEZA SARMIENTO,IMC,Vigente
PVDI607-2025,01/08/2025,31/07/2028,Oncologia Matemática: Combatendo o Câncer e Desenvolvendo a Matemática Aplicada,Projeto sem financiamento externo,Não possui,ARTUR CESAR FASSONI,IMC,Vigente
PVDI628-2025,01/08/2025,31/07/2028,Efeitos de auto-força no problema gravitacional de 2 corpos,Projeto sem financiamento externo,Não possui,RICARDO IVAN MEDINA BASCUR,IMC,Vigente
PVDI642-2023,01/03/2023,28/02/2026,Desenvolvimento do Centro de Hidrogênio Verde da UNIFEI,Projeto com financiamento externo,CNPq,EDSON DA COSTA BORTONI	,ISEE,Vigente
PVDI609-2025,01/08/2025,31/07/2028,As narrativas dos professores sobre os métodos de ensino e as tramas da crise na educação no ensino superior,Projeto sem financiamento externo,Não possui,ROGERIO RODRIGUES,IFQ,Vigente
PIDI629-2025,01/08/2025,31/07/2028,"Síntese, Caracterização e Avaliação de Catalisadores Aplicados em Reações de Oxidação
",Projeto sem financiamento externo,Não possui,KARINA ARRUDA ALMEIDA,IRN,Vigente
PVDI616-2025,01/08/2025,31/07/2028,Sensoriamento Remoto de Alta Resolução Espacial com Aeronaves Remotamente Pilotadas para Análise de Desastres Naturais e Monitoramento de Eventos Extremos,Projeto sem financiamento externo,Não possui,SAMARA CALCADO DE AZEVEDO,IRN,Vigente
PIDI603-2025,01/08/2025,31/07/2028,SEXUALIDADE E FORMAÇÃO DE PROFESSORES: MAPEAMENTO DOS CURSOS DE LICENCIATURA DA UNIFEI COMO SUBSÍDIO PARA PROCESSOS EMANCIPATÓRIOS DE EDUCAÇÃO SEXUAL,Projeto sem financiamento externo,Não possui,YALIN BRIZOLA YARED,IRN,Vigente
PVDI645-2025,07/08/2025,06/08/2028,Estudo Experimental e Termodinâmico do Equilíbrio de Fases no Sistema Multicomponente Nb-Ta-V-Ge,Projeto com financiamento externo,FAPEMIG,ANTONIO AUGUSTO ARAUJO PINTO DA SILVA,IEM,Vigente
PIDI672-2025,01/01/2025,29/12/2028,Tecnologia para o monitoramento das condições hídricas dos cafeeiros por meio de aplicativo móvel,Projeto com financiamento externo,Embrapa,VANESSA CRISTINA OLIVEIRA DE SOUZA,IMC,Vigente
PVDI694-2025,19/09/2025,19/09/2028,Estruturação e consolidação do NTC - Núcleo de Tecnologia em Compósitos da UNIFEI como laboratório tecnológico para o setor de Materiais e Estruturas,Projeto com financiamento externo,FAPEMIG,ANTONIO CARLOS ANCELOTTI JUNIOR,IEM,Vigente
PVDI617-2025,01/08/2025,31/07/2028,Modelagem de uma planta de geração de energia em usinas de papel e celulose,Projeto sem financiamento externo,Não possui,LOURIVAL JORGE MENDES NETO,IEM,Vigente
PIDI613-2025,01/08/2025,31/07/2028,Avaliação do comportamento em compressão de estruturas tubulares híbridas metal/compósito,Projeto sem financiamento externo,Não possui,RENATA NEVES PENHA,IEM,Vigente
PIDI696-2025,01/09/2025,01/09/2028,"Sustentabilidade na Produção de Amônia Verde no Brasil: Integração de Energia Solar, Hidrogênio por Eletrólise e Recuperação de Calor",Projeto com financiamento externo,CNPq,JUAN JOSE GARCIA PABON,IMC,Vigente
PIDI662-2025,01/11/2025,31/10/2028,PROJETO DE CIRCUITOS EFICIENTES DE CONTROLE PARA ACIONAMENTO E REGENERAÇÃO DE ENERGIA EM MOTORES BLDC,Projeto sem financiamento externo,Não possui,LUCIANO BERTINI,IESTI,Vigente
PVDI679-2025,01/11/2025,31/10/2028,Diagnóstico e Previsão em Domínios Heterogêneos: Uma Abordagem com Inteligência Artificial,Projeto sem financiamento externo,Não possui,JOAO PAULO REUS RODRIGUES LEITE,IESTI,Vigente
PIDI699-2025,10/12/2025,09/12/2027,Fotocore: Fotofísica de Compostos Orgânicos Emergentes,Projeto com financiamento externo,FAPEMIG,ROBERTO SHIGUERU NOBUYASU JUNIOR,IFQ,Vigente
PVDI703-2023,01/03/2023,31/07/2026,Estruturas de Redes Elétricas Inteligentes e Mercados de Eletricidade Inteligentes para Sustentabilidade,Projeto com financiamento externo,CNPq,BENEDITO DONIZETI BONATO,ISEE,Vigente
PVDI705-2025,03/11/2025,10/11/2027,Desenvolvimento de um sistema de avaliação de biomassa florestal com o uso de drones,Projeto com financiamento externo,FAPEMIG,ALEXANDRE CARLOS BRANDAO RAMOS,IMC,Vigente
