Código,Título do Projeto,Início,Término,Status,Financiador,Recursos Externos ,Equipe,Instituto Vinculado,Função (Discente/ Coordenador/Docente)
PIDI137-2021,Estudo da integral de Itô e sistemas dinâmicos aleatórios,1/8/2021,31/7/2023,Expirado,,,JACSON SIMSEN,IMC,Coordenador
PVDI145-2021,Espaços-tempos com Simetria Espacial Intrínseca II,1/8/2021,31/7/2024,Vigente,,,Leandro Gustavo Gomes,IMC,Coordenador
PIDI143-2021,Trade-offs entre Decisões Arquiteturais para Sistemas-de-Sistemas: Evidências Empíricas,1/8/2021,31/7/2023,Expirado,,,LINA MARIA GARCES RODRIGUEZ,IMC,Coordenador
PVDI180-2021,Configurações Centrais do Problema de N Corpos Simétricas por Reflexão,1/8/2021,31/7/2024,Vigente,,,LUCAS RUIZ DOS SANTOS,IMC,Coordenador
PIDI152-2021,FUNÇÕES CONVEXAS E APLICAÇÕES,1/8/2021,31/7/2023,Expirado,,,MARCIA SAYURI KASHIMOTO,IMC,Coordenador
PIDI140-2021,Inclusões Diferenciais Envolvendo o Operador p(x)-Laplaciano,1/8/2021,31/7/2023,Expirado,,,Mariza Stefanello Simsen,IMC,Coordenador
PIDI150-2021,Invariantes Topológicos da Ferradura Rotacional,1/8/2021,31/7/2023,Expirado,,,Bráulio Augusto Garcia,IMC,Coordenador
PVDI154-2021,Simulação Numérico-Computacional da Dissipação de Esteiras de Aeronaves Próximas do Solo Utilizando o Método de Vórtices Discretos com Modelagem de Rugosidade Superficial,1/8/2021,31/7/2023,Expirado,,,Luiz Antonio Alcântara Pereira,IEM,Coordenador
PIDI191-2021,USO DE GÁS NATURAL NA GERAÇÃO DE ENERGIA ELÉTRICA E SUA IMPORTÂNCIA NA SEGURANÇA E NA TRANSIÇÃO ENERGÉTICA,1/8/2021,31/7/2023,Expirado,,,Rogério José da Silva,IEM,Coordenador
PIDI139-2021,Inteligência Artificial Aplicada ao Processamento de Sinais Cardíacos,1/8/2021,31/7/2023,Expirado,,,João Paulo Reus Rodrigues Leite,IESTI,Coordenador
PVDI179-2021,ESTUDO DE MÉTODOS DE EXTRAÇÃO/RECUPERAÇÃO DE ENERGIA DE SISTEMA FOTOVOLTAICO SOMBREADO OU EM DESEQUILÍBRIO,1/8/2021,31/7/2024,Vigente,,,ENIO ROBERTO RIBEIRO,IESTI,Coordenador
PVDI144-2021,"Modelagem do comportamento de motoristas, por meio de dados gerados por telemetria.",1/8/2021,31/7/2023,Expirado,,,BRUNO TARDIOLE KUEHNE,IESTI,Coordenador
PVDI186-2021,Desenvolvimento de Carregador Rápido para Veículos Elétricos,1/8/2021,31/7/2023,Expirado,,,ROBSON BAUWELZ GONZATTI,IESTI,Coordenador
PVDI165-2021,Ferramentas de aprendizado de máquina em gravitação,1/8/2021,31/7/2023,Expirado,,,ALAN BENDASOLI PAVAN,IFQ,Coordenador
PVDI155-2021,Fabricação e caracterização elétrica e óptica de heteroestruturas baseadas e silício poroso visando aplicações como sensores e fotocélulas,1/8/2021,31/7/2023,Expirado,,,Danilo Roque Huanca,IFQ,Coordenador
PVDI142-2021,Modelos análogos para ondas gravitacionais em materiais não-lineares,1/8/2021,31/7/2023,Expirado,,,Eduardo Henrique Silva Bittencourt ,IFQ,Coordenador
PIDI147-2021,Produção de estudos de caso em História da Ciência para o Ensino de Química,1/8/2021,31/7/2024,Vigente,,,EVANDRO FORTES ROZENTALSKI,IFQ,Coordenador
PVDI185-2021,UTILIZAÇÃO DE AGENTES COMPLEXANTES PARA EXTRAÇÃO DE METAIS EM ÓLEO ISOLANTE,1/8/2021,31/7/2023,Expirado,,,FLÁVIO SOARES SILVA,IFQ,Coordenador
PVDI184-2021,Análise das sequências didáticas produzidas no âmbito do projeto de extensão Tecnologias Emergentes.,1/8/2021,31/7/2023,Expirado,,,JULIANA MARIA SAMPAIO FURLANI,IFQ,Coordenador
PIDI189-2021,ESTUDO DA TERMINOLOGIA DO DISCURSO DA INOVAÇÃO TECNOLÓGICA,1/8/2021,31/7/2023,Expirado,,,Márcia de Souza de Luz Freitas ,IFQ,Coordenador
PVDI197-2021,Projeções das principais variáveis atmosféricas na caracterização dos expossomas brasileiros: o câncer de pele além da radiação ultravioleta,1/4/2021,31/3/2024,Vigente,CNPq,"R$ 39.600,00",Marcelo de Paula Corrêa,IRN,Coordenador
PVDI166-2021,Utilização da Data Science em problemas de Engenharia de Produção,1/8/2021,31/7/2023,Expirado,,,ALEXANDRE FERREIRA DE PINHO,IEPG,Coordenador
PVDI161-2021,"EDUCAÇÃO FINANCEIRA EM UM INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA: CONHECIMENTO FINANCEIRO E SUA CORRELAÇÃO COM OS CINCO GRANDES FATORES DE PERSONALIDADE DA COMUNIDADE ACADÊMICA",1/8/2021,31/7/2023,Expirado,,,André Luiz Medeiros,IEPG,Coordenador
PIDI160-2021,Edital DIP 001/2021 - Seleção de Projeto de Pesquisa Científica sem Financiamento Externo para Registro,1/8/2021,31/7/2023,Expirado,,,FABIO FAVARETTO,IEPG,Coordenador
PVDI136-2021,Desempenho sustentável da cadeia de suprimentos “fashion circular”: Um estudo multi-metodológico,1/8/2021,31/7/2023,Expirado,,,JENIFFER DE NADAE,IEPG,Coordenador
PVDI157-2021,"Utilização da simulação computacional no planejamento e implantação dos conceitos e ferramentas enxutas em ambientes manufatureiros, administrativos e hospitalares",1/8/2021,31/7/2023,Expirado,,,JOSE ANTONIO DE QUEIROZ,IEPG,Coordenador
PIDI164-2021,Análise do Canteiro de Obras como um Sistema de Produção Dinâmico Não-Linear,1/8/2021,31/7/2023,Expirado,,,ANDRE LUIZ VIVAN,IRN,Coordenador
PVDI148-2021,TELHADOS VERDES NOS TRÓPICOS,1/8/2021,31/7/2023,Expirado,,,HERLANE COSTA CALHEIROS,IRN,Coordenador
PVDI173-2021,Análise da eficiência da valorização de biomassa de resíduos agroindustriais para bioenergia utilizando secador de leito fluidizado,1/8/2021,31/7/2024,Vigente,,,HUGO PERAZZINI,IRN,Coordenador
PVDI174-2021,UTILIZAÇÃO DE ENERGIA SOLAR PARA O TRATAMENTO E APROVEITAMENTO DE RESÍDUOS AGROINDUSTRIAIS COMO BIOMASSA PARA BIONERGIA,1/8/2021,31/7/2024,Vigente,,,Maisa Tonon Bitti Perazzini,IRN,Coordenador
PVDI192-2021,"Inventário de feições erosivas e monitoramento de sua evolução em imagens de satélite CBERS 4A, LANDSAT 8 e Sentinel-2.",1/8/2021,31/7/2023,Expirado,,,Nívea Adriana Dias Pons,IRN,Coordenador
PVDI151-2021,Estudo da arquitetura radicular de braquiária (Urochloa spp.) submetida à inoculação com rizobactérias promotoras de crescimento,1/8/2021,31/7/2023,Expirado,,,ROGERIO MELLONI,IRN,Coordenador
PIDI188-2021,Estudo da abordagem multiescala para o mapeamento de mudanças no uso e cobertura do solo e associações com o depleciamento de recursos naturais,1/8/2021,31/7/2024,Vigente,,,Samara Calçado de Azevedo,IRN,Coordenador
PIDI135-2021,Estudo de compósitos cimentícios autoadensáveis produzidos com materiais alternativos,1/8/2021,31/7/2024,Vigente,,,Valquíria Claret dos Santos,IRN,Coordenador
PVDI177-2021,Aplicação de Técnicas Meta-heurísticas para a Alocação Ótima de Equipamentos FACTS em Sistemas Elétricos de Potência,1/8/2021,31/7/2024,Vigente,,,CAMILA PAES SALOMON,ISEE,Coordenador
PIDI158-2021,Desenvolvimento e validação de algoritmos básicos de Proteção de Sistemas Elétricos de Potência no RTDS para implementação em Sistemas Centralizados de Proteção e Controle de uma Subestação 4.0,1/8/2021,31/7/2023,Expirado,,,CARLOS ALBERTO VILLEGAS GUERRERO,ISEE,Coordenador
PVDI178-2021,Análise de impactos da inserção de recursos distribuídos no sistema elétrico,1/8/2021,31/7/2023,Expirado,,,Cláudia Eliane da Matta,ISEE,Coordenador
PVDI168-2021,AVALIAÇÃO DA ISOLAÇÃO DE TRANSFORMADORES ATRAVÉS MEDIÇÃO DE DESCARGAS PARCIAIS E TANGENTE DE DELTA,1/8/2021,31/7/2023,Expirado,,,GUSTAVO PAIVA LOPES,ISEE,Coordenador
PVDI138-2021,A SUSTENTABILIDADE NA UNIVERSIDADE FEDERAL DE ITAJUBÁ: O QUE TEM SIDO FEITO E O QUE SE PODE FAZER?,1/8/2021,31/7/2023,Expirado,,,MARIA RITA RAIMUNDO E ALMEIDA,IRN,Coordenador
PVDI170-2021,Modelagem e simulação por fluidodinâmica computacional da transformação de metanol para olefinas em microreatores bifásicos contínuos com desativação do catalisador.,1/8/2021,31/7/2023,Expirado,,,MAXIMILIAN JOACHIM HODAPP,IRN,Coordenador
PVDI153-2021 ,"Caraterização microestrutural de ligas de Alta Entropia a base de (Fe,Cr)MoNb(Ti,Zr)WAlx (x<0.01) obtidas pelo processo de moagem de alta energia ",1/8/2021,31/7/2023,Expirado,,,Antonio Augusto Araújo Pinto da Silva,IEM,Coordenador
PVDI198-2021,Módulos termoelétricos cerâmicos: Aprimoramento da conversão de calor residual em energia elétrica,1/3/2021,28/2/2024,Expirado,CNPq,"R$ 39.600,00",Maria Virgínia Gelfuso,IEM,Coordenador
PIDI200-2021,OBTENÇÃO E APLICAÇÃO DE SISTEMAS COM PROPRIEDADES CRÔMICAS BASEADOS EM ESPIROPIRANOS,1/3/2021,29/2/2024,Vigente,CNPq,"R$ 39.600,00",Frederico Barros de Sousa,IFQ,Coordenador
PVDI202-2021,Plataforma de Previsão de Vazões na Bacia do Rio Paraíba do Sul como Suporte à Prevenção de Inundações,12/4/2021,11/12/2024,Vigente,AGEVAP,"R$ 21.739,13",Vanessa Silveira Barreto Carvalho,IRN,Coordenador
PVDI201-2021,Monitoramento de processos e Inspeção por amostragm,1/3/2021,28/2/2026,Vigente,CNPq,"R$ 39.600,00",ANTONIO FERNANDO BRANCO COSTA,IEPG,Coordenador
PVDI218-2021 ,Utilização da Simulação Baseada em Agentes (SBA) combinada a Simulação a Eventos Discretos (SED) para o sequenciamento da produção de Sistemas Job Shop Flexíveis ,4/11/2021,8/10/2024,Vigente,FAPEMIG,"R$ 36.623,00",ALEXANDRE FERREIRA DE PINHO ,IEPG,Coordenador
PVDI207-2021 ,Valorização de resíduo do processamento da cana-de-açúcar pela utilização da hemicelulose para a produção integrada de bioetanol no contexto de biorrefinaria por diferentes abordagens ,1/10/2021,30/9/2024,Vigente,FAPEMIG,"R$ 21.528,60",THAIS SUZANE MILESSI ESTEVES ,IRN,Coordenador
PVDI215-2022 ,Aproveitamento Eficiente do Bagaço de Malte Utilizando Secador Solar ,1/1/2022,31/12/2023,Expirado,FAPEMIG,"R$ 7.408,94",Maisa Tonon Bitti Perazzini,IRN,Coordenador
PIDI219-2021 ,"Estudo, Caracterização e otimização de materiais orgânicos que apresentam Fluorescência Atrasada Ativada Termicamente e Fofotoluminêscencia de Longa Duração ",9/11/2021,8/11/2024,Vigente,FAPEMIG,"R$ 9.000,00",ROBERTO SHIGUERU NOBUYASU JUNIOR ,IFQ,Coordenador
PIDI203-2021 ,CRIAÇÃO DE PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO DO INSTITUTO DE FÍSICA E QUÍMICA ,9/9/2021,8/9/2023,Expirado,UNIFEI IFQ,"R$ 28.800,00",MARCELOS LIMA PERES ,IFQ,Coordenador
PVDI206-2021 ,Aumento da Segurança e Desempenho de ARPs em Relação ao Controle de Voo ,22/10/2021,21/10/2024,Vigente,FAPEMIG,"R$ 28.971,34",Yohan Alí Díaz Méndez  ,IEM,Coordenador
PVDI209-2021,LOGÍSTICA E TRANSPORTES NO CONTEXTO DO GREEN SUPPLY CHAIN MANAGEMENT E ECONOMIA CIRCULAR,1/7/2021,30/6/2024,Vigente,FAPEMIG,"R$ 36.331,18",RENATO DA SILVA LIMA,IEPG,Coordenador
PVDI208-2021,Simulação e otimização de Sistemas Híbridos Isolados de Geração de Energia Elétrica com base em Energias Renováveis,25/11/2021,25/11/2024,Vigente,FAPEMIG,"R$ 32.760,00",Diego Mauricio Yepes Maya,IEM,Coordenador
PVDI212-2021,Avaliação Do Desempenho De Um Sistema Híbrido De Painel Fotovoltaico E Bomba De Calor Para Aquecimento De Água Aproveitando A Irradiação Solar No Estado De Minas Gerais,15/11/2021,14/11/2024,Vigente,FAPEMIG,"R$ 27.560,00",JUAN JOSE GARCIA PABON,IEM,Coordenador
PIDI211-2021,Efeito da temperatura e do campo magnético sobre o comportamento dinâmico de vigas sanduíche com núcleo colmeia preenchida por elastômero magneto reológico,27/10/2021,27/10/2024,Vigente,FAPEMIG,"R$ 20.848,44",Felipe de Souza Eloy,IEM,Coordenador
PVDI216-2021,Mercados de Eletricidade Inteligentes: Modelagem Técnica-Econômica e Regulatória,1/12/2021,30/11/2024,Vigente,FAPEMIG,"R$ 45.460,00",BENEDITO DONIZETI BONATTO,ISEE,Coordenador
PIDI224-2021,Atividades experimentais e laboratórios remotos: possibilidades e potencialidades para o Ensino de Ciências,11/11/2021,10/11/2023,Expirado,FAPEMIG,"R$ 38.091,66",THIAGO COSTA CAETANO,IFQ,Coordenador
PVDI223-2021,Inclusões Diferenciais Envolvendo o Operador p(x)-Laplaciano,16/11/2021,16/11/2023,Expirado,FAPEMIG,"R$ 14.270,00",MARIZA STEFANELLO SIMSEN,IMC,Coordenador
PVDI225-2021,SISTEMAS DINÂMICOS NÃO-LINEARES DE DIMENSÃO INFINITA,12/11/2021,12/11/2024,Vigente,FAPEMIG,"R$ 15.478,12",JACSON SIMSEN,IMC,Coordenador
PVDI222-2021,Sistema de Alerta de Inundações em Bacias Hidrográficas de Pequenas Escala sob Influência de Expansão Urbana,11/11/2021,10/11/2024,Vigente,FAPEMIG,"R$ 65.860,00",Benedito Cláudio da Silva,IRN,Coordenador
PVDI214-2022,Valorização de resíduos agroindustriais de açaí como biomassa para bioenergia: estudo da secagem por leito fluidizado,17/12/2021,17/12/2023,Expirado,FAPEMIG,"R$ 7.058,75",HUGO PERAZZINI,IRN,Coordenador
PVDI228-2022,Aprendizagem ativa crítica no ensino da disciplina equações diferenciais,1/3/2022,28/2/2025,Vigente,CNPq,"R$ 39.600,00",Fabrina Bolzan Martins,IRN,Coordenador
PVDI230-2022,"A Educação em Ciências e os Processos de Significação sobre a Temática Ambiental: um estudo a partir de parcerias entre escolas, empresas e setores organizados da sociedade civil",1/3/2022,28/2/2025,Vigente,CNPq,"R$ 39.600,00",Luciano Fernandes Silva,IFQ,Coordenador
PIDI241-2022,Desenvolvimento de sistemas fotocrômicos e suas aplicações para o sensoriamento,2/1/2022,1/1/2025,Vigente,FAPEMIG,"R$ 73.140,00",Frederico Barros de Sousa,IFQ,Coordenador
PVDI240-2021,Melhoramento do potencial energético de biogás da (co)digestão anaeróbia de resíduos sólidos orgânicos como incentivo às fontes renováveis de energias: pré-tratamento do substrato e co(digestão) visando ao aproveitamento do hidrogênio,21/12/2021,21/12/2024,Vigente,FAPEMIG,"R$ 50.370,27",REGINA MAMBELI BARROS,IRN,Coordenador
PVDI231-2022,Valorização energética de biomassa residual para precursores de alto valor energético,16/3/2022,31/3/2025,Vigente,CNPq,"R$ 62.400,00",Diego Mauricio Yepes Maya,IEM,Coordenador
PVDI243-2021,DETERMINAÇÃO DE PARÂMETROS DE AGLOMERADOS ABERTOS COM DADOS DO SATÉLITE GAIA,1/3/2021,28/2/2024,Vigente,CNPq,"R$ 39.600,00",WILTON DA SILVA DIAS,IFQ,Coordenador
PVDI226-2022,Experimentos de Física controlados remotamente como proposta para uma aprendizagem significativa,1/3/2022,28/2/2025,Vigente,CNPq,"R$ 33.200,00",Mikael Frank Rezende Junior,IFQ,Coordenador
PVDI254-2022,Técnicas de Inteligência Artiﬁcial Aplicadas na Análise de Estabilidade de Tensão em Sistemas Elétricos de Potência com Redes Inteligentes,13/3/2022,11/4/2024,Vigente,FAPEMIG,"R$ 50.400,00",BENEDITO ISAIAS LIMA FULY,,Coordenador
,Sistema hidro-eletro-mecânico de identificação de infestação de L. fortunei (mexilhão dourado) na sucção de bombas centrifugas - “EDITAL 002/2018 - PROGRAMA PESQUISADOR MINEIRO - PPM XII” - “EDITAL 002/2018 - PROGRAMA PESQUISADOR MINEIRO - PPM XII”,28/3/2022,28/3/2024,Vigente,FAPEMIG,"R$ 24.000,00",CARLOS BARREIRA MARTINEZ,IEPG,Coordenador
PVDI295-2019,DETERMINAÇÃO DOS PARÂMETROS DE CÉLULAS SOLARES: UMA NOVA ABORDAGEM DE AJUSTES PELO MÉTODO DE OTIMIZAÇÃO GLOBAL,16/10/2019,15/5/2025,Vigente,FAPEMIG,"R$ 28.045,50",Adhimar Flávio Oliveira,IFQ,Coordenador
PIDI296-2022,Efeitos de vácuo quântico na presença de fontes de campo e potenciais externos,1/3/2022,28/2/2025,Vigente,CNPq,"R$ 39.600,00",Fabricio Augusto Barone Rangel,IFQ,Coordenador
PVDI297-2022,Análise numérica e experimental de microgeradores eólicos para aplicações em regiões remotas no Brasil,1/7/2022,30/6/2025,Vigente,FAPEMIG,"R$ 39.999,50",ANGIE LIZETH ESPINOSA SARMIENTO,IEM,Coordenador
PVDI257-2022,Aprimoramento de Cerâmicas Termoelétricas para Conversão de Energia,1/8/2022,31/7/2024,Vigente,,,Daniel Thomazini,IEM,Coordenador
PVDI285-2022,Produção de compósito cimentício com diferentes adições de óxido de grafeno,1/8/2022,31/7/2024,Vigente,,,GEOVANI RODRIGUES,IEM,Coordenador
